osmid,y,x,highway,ref,street_count,railway,geometry
123652218,34.0232105,-118.2578238,,,4,,POINT (-118.2578238 34.0232105)
123652221,34.0216043,-118.2588423,,,4,,POINT (-118.2588423 34.0216043)
123652224,34.0180587,-118.2612213,stop,,3,,POINT (-118.2612213 34.0180587)
123652277,34.0154217,-118.2629018,,,4,,POINT (-118.2629018 34.0154217)
123654484,34.0701421,-118.2143086,stop,,3,,POINT (-118.2143086 34.0701421)
123654486,34.0701738,-118.2116457,traffic_signals,,4,,POINT (-118.2116457 34.0701738)
123654490,34.0702384,-118.2077398,,,4,,POINT (-118.2077398 34.0702384)
123656718,34.0387768,-118.276327,turning_circle,,1,,POINT (-118.276327 34.0387768)
123656778,34.0369032,-118.2776286,traffic_signals,,4,,POINT (-118.2776286 34.0369032)
123665819,34.0676881,-118.2414939,,,1,,POINT (-118.2414939 34.0676881)
123667812,34.0335319,-118.2351024,,,3,,POINT (-118.2351024 34.0335319)
123672756,34.0214358,-118.2723141,,,4,,POINT (-118.2723141 34.0214358)
123674483,34.0522744,-118.2699007,,,3,,POINT (-118.2699007 34.0522744)
123682586,34.0716607,-118.2678917,,,1,,POINT (-118.2678917 34.0716607)
123688051,34.0469,-118.2733135,,,4,,POINT (-118.2733135 34.0469)
123688057,34.0518044,-118.2842118,,,3,,POINT (-118.2842118 34.0518044)
123688663,34.038216,-118.2345242,,,3,,POINT (-118.2345242 34.038216)
123689317,34.0362631,-118.2762124,,,3,,POINT (-118.2762124 34.0362631)
123689636,34.0438863,-118.2752314,traffic_signals,,3,,POINT (-118.2752314 34.0438863)
123689651,34.0437123,-118.2748672,,,3,,POINT (-118.2748672 34.0437123)
123696210,34.015621,-118.2432051,,,3,,POINT (-118.2432051 34.015621)
123696223,34.0249498,-118.2618676,,,4,,POINT (-118.2618676 34.0249498)
123696249,34.0173237,-118.2275909,,,3,,POINT (-118.2275909 34.0173237)
123697807,34.0677293,-118.2843631,,,3,,POINT (-118.2843631 34.0677293)
123699398,34.0250133,-118.251467,,,3,,POINT (-118.251467 34.0250133)
123700094,34.0568249,-118.2842485,,,3,,POINT (-118.2842485 34.0568249)
123700627,34.069494,-118.2143093,stop,,4,,POINT (-118.2143093 34.069494)
123700630,34.069522,-118.2116417,,,3,,POINT (-118.2116417 34.069522)
123701697,34.0674019,-118.2753526,,,3,,POINT (-118.2753526 34.0674019)
123701699,34.0650623,-118.276833,traffic_signals,,3,,POINT (-118.276833 34.0650623)
123702806,34.0089812,-118.2328955,,,3,,POINT (-118.2328955 34.0089812)
123702807,34.007611,-118.2328186,,,1,,POINT (-118.2328186 34.007611)
123703863,34.0149269,-118.2051472,,,3,,POINT (-118.2051472 34.0149269)
123704677,34.0459026,-118.1989143,,,3,,POINT (-118.1989143 34.0459026)
123705217,34.0142999,-118.2027444,,,3,,POINT (-118.2027444 34.0142999)
123705814,34.0443872,-118.1998681,,,3,,POINT (-118.1998681 34.0443872)
123706308,34.0315349,-118.1999605,,,3,,POINT (-118.1999605 34.0315349)
123706326,34.0296989,-118.200867,turning_circle,,1,,POINT (-118.200867 34.0296989)
123708027,34.0201658,-118.2405379,,,3,,POINT (-118.2405379 34.0201658)
123708033,34.0201373,-118.240392,,,3,,POINT (-118.240392 34.0201373)
123708804,34.0395626,-118.2265544,,,3,,POINT (-118.2265544 34.0395626)
123708811,34.0307823,-118.2249129,turning_circle,,1,,POINT (-118.2249129 34.0307823)
123709619,34.063723,-118.2545775,,,1,,POINT (-118.2545775 34.063723)
123709696,34.0670624,-118.280639,traffic_signals,,4,,POINT (-118.280639 34.0670624)
123711771,34.0587415,-118.2842045,,,3,,POINT (-118.2842045 34.0587415)
123711866,34.016634,-118.2432061,,,3,,POINT (-118.2432061 34.016634)
123711873,34.0258198,-118.2613143,,,3,,POINT (-118.2613143 34.0258198)
123711879,34.0164198,-118.239672,,,3,,POINT (-118.239672 34.0164198)
123711891,34.0263295,-118.2608672,,,3,,POINT (-118.2608672 34.0263295)
123715910,34.0234521,-118.2626377,,,3,,POINT (-118.2626377 34.0234521)
123715912,34.0200639,-118.2647835,stop,,4,,POINT (-118.2647835 34.0200639)
123715918,34.017081,-118.2667057,,,4,,POINT (-118.2667057 34.017081)
123715930,34.0111452,-118.270237,,,3,,POINT (-118.270237 34.0111452)
123715938,34.011145,-118.2704513,,,3,,POINT (-118.2704513 34.011145)
123715944,34.0235084,-118.2627713,,,3,,POINT (-118.2627713 34.0235084)
123717449,34.0706956,-118.248022,,,1,,POINT (-118.248022 34.0706956)
123717834,34.0398426,-118.2413429,,,4,,POINT (-118.2413429 34.0398426)
123720991,34.0087233,-118.28723,,,3,,POINT (-118.28723 34.0087233)
123725493,34.0148003,-118.2310279,,,3,,POINT (-118.2310279 34.0148003)
123725536,34.0145061,-118.2432333,,,3,,POINT (-118.2432333 34.0145061)
123725698,34.0315493,-118.2279736,,,1,,POINT (-118.2279736 34.0315493)
123726575,34.0692382,-118.2792404,,,3,,POINT (-118.2792404 34.0692382)
123729208,34.062844,-118.2275586,,,3,,POINT (-118.2275586 34.062844)
123730625,34.0220554,-118.201424,,,4,,POINT (-118.201424 34.0220554)
123730676,34.030893,-118.219808,,,1,,POINT (-118.219808 34.030893)
123732661,34.0145822,-118.2690864,,,3,,POINT (-118.2690864 34.0145822)
123732667,34.0112038,-118.271219,,,3,,POINT (-118.271219 34.0112038)
123746541,34.0460762,-118.2801175,traffic_signals,,3,,POINT (-118.2801175 34.0460762)
123746941,34.0780439,-118.2438067,,,1,,POINT (-118.2438067 34.0780439)
123752124,34.0352815,-118.2087206,,,1,,POINT (-118.2087206 34.0352815)
123752166,34.0642802,-118.215747,,,1,,POINT (-118.215747 34.0642802)
123753154,34.0607958,-118.2842092,,,3,,POINT (-118.2842092 34.0607958)
123756253,34.0719086,-118.2116808,,,4,,POINT (-118.2116808 34.0719086)
123762372,34.0718721,-118.214348,stop,,4,,POINT (-118.214348 34.0718721)
123772751,34.0449788,-118.2818291,,,3,,POINT (-118.2818291 34.0449788)
123777315,34.0099342,-118.2432843,,,3,,POINT (-118.2432843 34.0099342)
123777325,34.0098,-118.2396275,,,3,,POINT (-118.2396275 34.0098)
123780529,34.0104373,-118.2432745,,,3,,POINT (-118.2432745 34.0104373)
123797842,34.0190219,-118.2710342,,,1,,POINT (-118.2710342 34.0190219)
123802576,34.0362976,-118.2858819,,,1,,POINT (-118.2858819 34.0362976)
190963849,34.0766388,-118.2827454,turning_circle,,1,,POINT (-118.2827454 34.0766388)
190963919,34.0735244,-118.2856094,traffic_signals,,5,,POINT (-118.2856094 34.0735244)
191333242,34.074151,-118.2715009,motorway_junction,5A,3,,POINT (-118.2715009 34.074151)
191333324,34.0726949,-118.2706574,,,3,,POINT (-118.2706574 34.0726949)
191333371,34.077916,-118.2617106,traffic_signals,,3,,POINT (-118.2617106 34.077916)
191333482,34.0696821,-118.2609165,,,3,,POINT (-118.2609165 34.0696821)
191333588,34.0780479,-118.2609067,,,3,,POINT (-118.2609067 34.0780479)
192437784,34.0746101,-118.2524711,,,3,,POINT (-118.2524711 34.0746101)
212327957,34.0472765,-118.2865093,,,3,,POINT (-118.2865093 34.0472765)
212387023,34.0365326,-118.2839944,traffic_signals,,4,,POINT (-118.2839944 34.0365326)
213431767,34.0137084,-118.2854562,,,2,,POINT (-118.2854562 34.0137084)
214086607,34.0455134,-118.2838305,,,3,,POINT (-118.2838305 34.0455134)
214086856,34.0478087,-118.2841591,,,3,,POINT (-118.2841591 34.0478087)
214306675,34.0370151,-118.2744356,motorway_junction,,3,,POINT (-118.2744356 34.0370151)
214470820,34.0210179,-118.2711219,,,3,,POINT (-118.2711219 34.0210179)
216153383,34.0110977,-118.2804323,,,3,,POINT (-118.2804323 34.0110977)
216155217,34.0175842,-118.2826952,,,3,,POINT (-118.2826952 34.0175842)
216708772,34.0073273,-118.2783647,traffic_signals,,3,,POINT (-118.2783647 34.0073273)
216708788,34.0081922,-118.2783664,,,3,,POINT (-118.2783664 34.0081922)
250001395,34.0674649,-118.2239889,,,3,level_crossing,POINT (-118.2239889 34.0674649)
250008947,34.0674814,-118.2194308,,,4,,POINT (-118.2194308 34.0674814)
250052546,34.0530776,-118.2227441,traffic_signals,,3,,POINT (-118.2227441 34.0530776)
250052551,34.0532808,-118.2314264,,,3,,POINT (-118.2314264 34.0532808)
250064922,34.0521643,-118.2018515,traffic_signals,,4,,POINT (-118.2018515 34.0521643)
250130162,34.048495,-118.2233946,,,3,,POINT (-118.2233946 34.048495)
250130185,34.0504903,-118.2236448,turning_circle,,1,,POINT (-118.2236448 34.0504903)
