u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,access,ref,tunnel,bridge,width,junction,Groups
42436055,42436335,0,"[46332299, 1235274693]",residential,1,20 mph,Franklin Street,True,False,130.89863465243403,"LINESTRING (-74.0102398 40.7194445, -74.0101471 40.7194358, -74.0101307 40.7194342, -74.0088198 40.7193077, -74.008699 40.719296)",282.27229511901544,5.02837823360203,0.0007067280510459,,,,,,,C
42436056,42436055,0,556311124,residential,1,20 mph,Greenwich Street,True,False,76.27973669435829,"LINESTRING (-74.0101194 40.7201244, -74.0101355 40.720033, -74.0101835 40.7197591, -74.0102257 40.7195195, -74.0102398 40.7194445)",336.8911930770912,5.068442911635852,0.0022993314963099,,,,,,,C
42436056,4207143418,0,"[941943232, 1235274707]",residential,2,20 mph,North Moore Street,True,False,164.2530216413669,"LINESTRING (-74.0101194 40.7201244, -74.0102272 40.7201355, -74.0107294 40.720187, -74.011397 40.7202524, -74.0117154 40.7202832, -74.0118278 40.720295, -74.0119094 40.7203038, -74.0120514 40.720319)",459.9520854785762,8.19222686757224,0.0011555942808091,,,,,,,C
42436060,42434871,0,556311124,residential,1,20 mph,Greenwich Street,True,False,78.89049612404159,"LINESTRING (-74.0098818 40.721468, -74.0098949 40.7213966, -74.0099969 40.7208298, -74.010008 40.720765)",545.3146109959016,8.367806802186795,0.0006928752420719,,,,,,,C
42436060,42436308,0,"[1237149154, 1237097675, 468414627]",residential,1,20 mph,Hubert Street,True,False,130.6249347851427,"LINESTRING (-74.0098818 40.721468, -74.0098376 40.7214707, -74.0098091 40.7214703, -74.0097693 40.721467, -74.009178 40.72141, -74.0084841 40.721343, -74.0084596 40.721341, -74.0083435 40.7213306)",279.1754667451865,4.753692107740644,0.0004223932770204,,,,,,,C
42436064,42436060,0,"[1237097674, 607091411]",residential,1,20 mph,Greenwich Street,True,False,75.31474584657676,"LINESTRING (-74.0097659 40.7221396, -74.0097784 40.7220678, -74.0098665 40.7215596, -74.0098707 40.7215345, -74.0098818 40.721468)",334.4856556837525,4.557260644351033,0.0009208596067117,,,,,,,C
42436064,42440916,0,"[412115641, 1237326683]",primary,1,20 mph,Laight Street,True,False,67.3231234266677,"LINESTRING (-74.0097659 40.7221396, -74.009855 40.7221486, -74.0099059 40.7221537, -74.0104849 40.7222089, -74.0105584 40.7222159)",214.95271175789128,5.240359893771823,0.0009804971233116,,,,,,,B
42436069,42436340,0,"[22927411, 1237326700]",residential,1,20 mph,Vestry Street,True,False,130.20990485403834,"LINESTRING (-74.009651 40.7227945, -74.0095653 40.7227862, -74.0087724 40.7227108, -74.0083229 40.7226644, -74.0082372 40.7226559, -74.0081187 40.7226441)",274.204815834128,4.870487868722945,0.0018042696705191,,,,,,,C
42436069,42436064,0,607091411,residential,1,20 mph,Greenwich Street,True,False,73.46259507001633,"LINESTRING (-74.009651 40.7227945, -74.0096638 40.7227217, -74.0097561 40.7221957, -74.0097659 40.7221396)",208.81324011454265,5.23396694614011,0.0017959932041406,,,,,,,C
42436073,42436017,0,607091411,residential,1,20 mph,Greenwich Street,True,False,74.23320687154795,"LINESTRING (-74.0094239 40.7241026, -74.0094371 40.7240259, -74.0095264 40.7235063, -74.0095377 40.7234406)",209.3115492549284,5.22014042294481,0.0036331926451445,,,,,,,C
42436073,4142105811,0,"[1254245274, 1254245275]",residential,1,20 mph,Watts Street,True,False,82.9448320093256,"LINESTRING (-74.0094239 40.7241026, -74.0093347 40.7240945, -74.0093129 40.7240925, -74.0090026 40.7240638, -74.0089167 40.724058, -74.0087744 40.7240498, -74.0086818 40.7240432, -74.0086678 40.724042, -74.0085987 40.7240362, -74.008445 40.7240259)",305.2478071669831,10.587762022070066,0.0005620953336225,,,,,,,C
42436083,4142105812,0,412117872,residential,,20 mph,Greenwich Street,False,True,10.28933291419458,"LINESTRING (-74.0092999 40.7247682, -74.0093084 40.7247243, -74.0093172 40.7246766)",10.28933291419458,1.9950002033965584,0.0042371985957477,,,,,,,C
42436083,42440850,0,"[420809408, 420809413]",trunk,"['1', '2']",20 mph,Canal Street,True,False,88.58548883695133,"LINESTRING (-74.0092999 40.7247682, -74.0093977 40.7248349, -74.0096559 40.7250124, -74.0097305 40.725061, -74.0098087 40.7251101, -74.0099398 40.7251926, -74.0099942 40.7252243, -74.0100977 40.7252865)",376.2905643929015,11.326929192291136,0.0118705659271614,,,,,,,A
42436083,42436088,0,"[46171876, 1202586285]",residential,1,25 mph,Greenwich Street,True,False,138.39430255714677,"LINESTRING (-74.0092999 40.7247682, -74.0092881 40.7248417, -74.0091615 40.7255893, -74.0091162 40.7258581, -74.009112 40.7258828, -74.0091055 40.725921, -74.0090892 40.7260025)",318.41922045067867,4.691656530428396,0.0013630929237034,,,,,,,C
42436088,42442288,0,812936282,residential,,25 mph,Spring Street,True,False,63.1055994114179,"LINESTRING (-74.0090892 40.7260025, -74.0089965 40.7259933, -74.0083464 40.7259304)",393.7079235964075,4.727694686255811,0.0031872613325369,,,,,,,C
42436088,42436093,0,1202586284,residential,1,25 mph,Greenwich Street,True,False,84.2583621925394,"LINESTRING (-74.0090892 40.7260025, -74.009078 40.7260666, -74.00896 40.7267539)",702.9163915288416,10.20752948093796,0.0024644499354787,,,,,,,C
