osmid,y,x,street_count,highway,ref,junction,geometry
122250729,37.7080721,-97.3265131,4,,,,POINT (-97.3265131 37.7080721)
122250741,37.7098745,-97.3265059,4,,,,POINT (-97.3265059 37.7098745)
122250753,37.711692,-97.3264315,4,,,,POINT (-97.3264315 37.711692)
122250758,37.7135005,-97.3264082,4,,,,POINT (-97.3264082 37.7135005)
122250763,37.7153493,-97.3264303,4,,,,POINT (-97.3264303 37.7153493)
122250768,37.717164,-97.326415,4,,,,POINT (-97.326415 37.717164)
122250968,37.662738,-97.37663,3,,,,POINT (-97.37663 37.662738)
122250994,37.662072,-97.377886,4,,,,POINT (-97.377886 37.662072)
122252160,37.691258,-97.358956,3,,,,POINT (-97.358956 37.691258)
122252173,37.691247,-97.36028,4,,,,POINT (-97.36028 37.691247)
122252190,37.6916355,-97.3667579,3,,,,POINT (-97.3667579 37.6916355)
122252193,37.691619,-97.368754,4,,,,POINT (-97.368754 37.691619)
122252200,37.69159,-97.371292,3,,,,POINT (-97.371292 37.69159)
122252220,37.691424,-97.373656,4,,,,POINT (-97.373656 37.691424)
122252222,37.691418,-97.374769,4,,,,POINT (-97.374769 37.691418)
122252224,37.691411,-97.375881,4,,,,POINT (-97.375881 37.691411)
122252227,37.691401,-97.377002,4,,,,POINT (-97.377002 37.691401)
122252228,37.69139,-97.378112,4,,,,POINT (-97.378112 37.69139)
122253319,37.683982,-97.3506074,4,,,,POINT (-97.3506074 37.683982)
122253334,37.687792,-97.3506821,4,,,,POINT (-97.3506821 37.687792)
122254286,37.676456,-97.344709,3,,,,POINT (-97.344709 37.676456)
122254298,37.676429,-97.349295,4,,,,POINT (-97.349295 37.676429)
122254301,37.6764262,-97.3503957,1,turning_circle,,,POINT (-97.3503957 37.6764262)
122255906,37.7086591,-97.3550709,3,,,,POINT (-97.3550709 37.7086591)
122255915,37.709888,-97.355167,5,,,,POINT (-97.355167 37.709888)
122255918,37.711665,-97.355167,4,,,,POINT (-97.355167 37.711665)
122255921,37.712101,-97.355166,3,,,,POINT (-97.355166 37.712101)
122255928,37.713469,-97.355153,4,,,,POINT (-97.355153 37.713469)
122255931,37.714382,-97.355186,3,,,,POINT (-97.355186 37.714382)
122255934,37.715244,-97.355176,4,,,,POINT (-97.355176 37.715244)
