osmid,y,x,street_count,highway,ref,railway,geometry
1573548366,40.7416371,-111.8682051,4,,,,POINT (-111.8682051 40.7416371)
1573548370,40.7416418,-111.869605,3,,,,POINT (-111.869605 40.7416418)
1573548374,40.7416453,-111.8710934,4,,,,POINT (-111.8710934 40.7416453)
1573548560,40.7693608,-111.8638828,3,,,,POINT (-111.8638828 40.7693608)
1580412371,40.7480343,-111.8624684,4,,,,POINT (-111.8624684 40.7480343)
1581342105,40.7628231,-111.9031294,3,,,,POINT (-111.9031294 40.7628231)
1581342121,40.7628827,-111.8968299,4,,,,POINT (-111.8968299 40.7628827)
1581342139,40.762883,-111.8996037,4,,,,POINT (-111.8996037 40.762883)
1581342154,40.7628792,-111.891002,4,,,,POINT (-111.891002 40.7628792)
1581342156,40.7628858,-111.9026254,4,,,,POINT (-111.9026254 40.7628858)
1581342159,40.7628806,-111.891186,4,,,,POINT (-111.891186 40.7628806)
1581342181,40.762882,-111.8939546,4,,,,POINT (-111.8939546 40.762882)
1581511237,40.7498068,-111.8682039,5,,,,POINT (-111.8682039 40.7498068)
1581511241,40.7505512,-111.868118,4,,,,POINT (-111.868118 40.7505512)
1581511242,40.7519699,-111.868109,4,,,,POINT (-111.868109 40.7519699)
1581511414,40.7541354,-111.868109,4,,,,POINT (-111.868109 40.7541354)
1581511432,40.7563211,-111.8681064,4,,,,POINT (-111.8681064 40.7563211)
1581511507,40.7584931,-111.8681101,4,,,,POINT (-111.8681101 40.7584931)
1581511600,40.7605702,-111.868114,4,,,,POINT (-111.868114 40.7605702)
1581511647,40.7607628,-111.868109,4,,,,POINT (-111.868109 40.7607628)
1581511660,40.7628302,-111.8681169,4,,,,POINT (-111.8681169 40.7628302)
1581511663,40.7637052,-111.8681218,3,,,,POINT (-111.8681218 40.7637052)
1581511671,40.7641486,-111.8681198,3,,,,POINT (-111.8681198 40.7641486)
1581511676,40.7649995,-111.8681154,4,,,,POINT (-111.8681154 40.7649995)
1581511682,40.7671879,-111.86812,4,,,,POINT (-111.86812 40.7671879)
1581511718,40.7693683,-111.8681296,3,,,,POINT (-111.8681296 40.7693683)
1581924714,40.7497908,-111.873857,4,traffic_signals,,,POINT (-111.873857 40.7497908)
1581924717,40.7519638,-111.873835,4,,,,POINT (-111.873835 40.7519638)
1581924719,40.7541305,-111.8738397,4,,,,POINT (-111.8738397 40.7541305)
1581924720,40.755006,-111.873832,3,,,,POINT (-111.873832 40.755006)
1581924722,40.7562984,-111.873838,4,,,,POINT (-111.873838 40.7562984)
1581924727,40.7584797,-111.8738377,4,,,,POINT (-111.8738377 40.7584797)
1581924730,40.7605592,-111.873836,4,,,,POINT (-111.873836 40.7605592)
1581924736,40.7607577,-111.873836,4,,,,POINT (-111.873836 40.7607577)
1581924738,40.7628347,-111.8738488,4,,,,POINT (-111.8738488 40.7628347)
1581924739,40.765005,-111.873832,4,,,,POINT (-111.873832 40.765005)
1581924741,40.767172,-111.8738448,4,,,,POINT (-111.8738448 40.767172)
1581924804,40.7692942,-111.888316,4,,,,POINT (-111.888316 40.7692942)
1581924811,40.7693538,-111.886494,3,,,,POINT (-111.886494 40.7693538)
1581924815,40.7693584,-111.8738493,3,,,,POINT (-111.8738493 40.7693584)
1585057903,40.7650131,-111.853888,4,traffic_signals,,,POINT (-111.853888 40.7650131)
1585057935,40.7650657,-111.865315,4,,,,POINT (-111.865315 40.7650657)
1585057943,40.76506,-111.8610199,4,,,,POINT (-111.8610199 40.76506)
1585057947,40.7650553,-111.859598,4,,,,POINT (-111.859598 40.7650553)
1585057951,40.7650806,-111.8624654,4,,,,POINT (-111.8624654 40.7650806)
1585057958,40.7650777,-111.8638036,4,,,,POINT (-111.8638036 40.7650777)
1585087078,40.7584817,-111.882485,4,,,,POINT (-111.882485 40.7584817)
1585087086,40.7605596,-111.882473,4,,,,POINT (-111.882473 40.7605596)
1585087088,40.760747,-111.882469,4,,,,POINT (-111.882469 40.760747)
1585087093,40.7628847,-111.8824422,4,,,,POINT (-111.8824422 40.7628847)
1585087106,40.7650106,-111.8824404,4,,,,POINT (-111.8824404 40.7650106)
1585087112,40.7671739,-111.8824342,4,,,,POINT (-111.8824342 40.7671739)
1585087132,40.769345,-111.882437,3,,,,POINT (-111.882437 40.769345)
1585109177,40.767164,-111.8767931,4,traffic_signals,,,POINT (-111.8767931 40.767164)
1585133269,40.7671875,-111.904059,4,,,,POINT (-111.904059 40.7671875)
1586472290,40.7254794,-111.853919,4,,,,POINT (-111.853919 40.7254794)
1586472343,40.7320473,-111.8538491,3,,,,POINT (-111.8538491 40.7320473)
1586472363,40.7335029,-111.853832,4,traffic_signals,,,POINT (-111.853832 40.7335029)
1586482211,40.7416423,-111.853885,4,traffic_signals,,,POINT (-111.853885 40.7416423)
1586499130,40.782451,-111.9113393,3,,,,POINT (-111.9113393 40.782451)
1586507599,40.7757695,-111.902513,4,traffic_signals,,,POINT (-111.902513 40.7757695)
1586507614,40.7758683,-111.9054983,4,,,,POINT (-111.9054983 40.7758683)
1586516158,40.773645,-111.8967527,4,,,,POINT (-111.8967527 40.773645)
1586516159,40.773639,-111.896905,4,,,,POINT (-111.896905 40.773639)
1586516165,40.7758736,-111.8967679,4,,,,POINT (-111.8967679 40.7758736)
1586516166,40.7758738,-111.8969072,4,,,,POINT (-111.8969072 40.7758738)
1586516169,40.7772127,-111.8969019,3,,,,POINT (-111.8969019 40.7772127)
1586516170,40.7780429,-111.8967492,4,,,,POINT (-111.8967492 40.7780429)
1586516171,40.7780472,-111.8969019,4,,,,POINT (-111.8969019 40.7780472)
1586516172,40.7801092,-111.8969124,3,,,,POINT (-111.8969124 40.7801092)
1586516173,40.7801095,-111.8967337,4,,,,POINT (-111.8967337 40.7801095)
1586516174,40.7802143,-111.8967364,3,,,,POINT (-111.8967364 40.7802143)
