osmid,y,x,street_count,highway,ref,railway,geometry
26861434,52.518906,13.3802953,3,,,,POINT (13.3802953 52.518906)
26865688,52.4958897,13.3611295,3,,,,POINT (13.3611295 52.4958897)
26866997,52.5096068,13.3779568,3,,,,POINT (13.3779568 52.5096068)
26869273,52.5100977,13.3765597,4,,,,POINT (13.3765597 52.5100977)
26869274,52.5095923,13.3765713,4,,,,POINT (13.3765713 52.5095923)
26869275,52.5094211,13.3765809,4,,,,POINT (13.3765809 52.5094211)
26869276,52.5085774,13.3770793,4,,,,POINT (13.3770793 52.5085774)
26869277,52.5079462,13.3778376,4,,,,POINT (13.3778376 52.5079462)
26869278,52.506559,13.3796002,4,,,,POINT (13.3796002 52.506559)
26869280,52.5049644,13.3816274,4,,,,POINT (13.3816274 52.5049644)
26869281,52.4993322,13.3887343,4,,,,POINT (13.3887343 52.4993322)
26869288,52.5123583,13.3770286,4,,,,POINT (13.3770286 52.5123583)
26869633,52.5111439,13.3712466,4,,,,POINT (13.3712466 52.5111439)
26869714,52.5092345,13.3718494,4,,,,POINT (13.3718494 52.5092345)
26870023,52.507636,13.3669859,3,,,,POINT (13.3669859 52.507636)
26870024,52.5075297,13.3675452,2,,,,POINT (13.3675452 52.5075297)
26870025,52.5081889,13.3673205,3,,,,POINT (13.3673205 52.5081889)
26870026,52.5080927,13.3678108,3,,,,POINT (13.3678108 52.5080927)
26870029,52.5085457,13.3680558,1,,,,POINT (13.3680558 52.5085457)
26870585,52.5145902,13.3773529,3,,,,POINT (13.3773529 52.5145902)
26870674,52.5162649,13.3767058,4,,,,POINT (13.3767058 52.5162649)
26870741,52.5051608,13.3719643,4,,,,POINT (13.3719643 52.5051608)
26870782,52.504804,13.3715364,3,,,,POINT (13.3715364 52.504804)
26871463,52.526146,13.3883608,3,,,,POINT (13.3883608 52.526146)
26871464,52.5249879,13.3928669,4,,,,POINT (13.3928669 52.5249879)
26871465,52.5244146,13.3951941,3,,,,POINT (13.3951941 52.5244146)
26871569,52.5296118,13.4007918,3,,,,POINT (13.4007918 52.5296118)
26871574,52.5280273,13.3949109,4,,,,POINT (13.3949109 52.5280273)
26871576,52.528526,13.3938143,4,,,,POINT (13.3938143 52.528526)
26871577,52.5278605,13.3953076,1,,,,POINT (13.3953076 52.5278605)
26871578,52.5270575,13.3969714,3,,,,POINT (13.3969714 52.5270575)
26871579,52.5272954,13.3965256,1,,,,POINT (13.3965256 52.5272954)
26871580,52.5275489,13.3891474,3,,,,POINT (13.3891474 52.5275489)
26871581,52.5280203,13.391366,3,,,,POINT (13.391366 52.5280203)
26871651,52.5308945,13.3947307,3,,,,POINT (13.3947307 52.5308945)
26871658,52.5287139,13.3853809,3,,,,POINT (13.3853809 52.5287139)
26871660,52.5292918,13.3846441,3,,,,POINT (13.3846441 52.5292918)
26871823,52.5335724,13.3967656,3,,,,POINT (13.3967656 52.5335724)
26873453,52.5157139,13.3698744,3,,,,POINT (13.3698744 52.5157139)
26873454,52.5161555,13.3767258,4,,,,POINT (13.3767258 52.5161555)
26876577,52.4826154,13.3811218,4,,,,POINT (13.3811218 52.4826154)
26876578,52.4834135,13.3826255,4,,,,POINT (13.3826255 52.4834135)
26876583,52.4848923,13.3858185,4,,,,POINT (13.3858185 52.4848923)
26876584,52.4844619,13.3858234,3,,,,POINT (13.3858234 52.4844619)
26876587,52.4832483,13.3858215,3,,,,POINT (13.3858215 52.4832483)
26876589,52.4845415,13.3880742,3,,,,POINT (13.3880742 52.4845415)
26876590,52.4836159,13.3878986,3,,,,POINT (13.3878986 52.4836159)
26876591,52.48333,13.3873498,3,,,,POINT (13.3873498 52.48333)
26913850,52.4981144,13.3887889,4,,,,POINT (13.3887889 52.4981144)
26913851,52.4989541,13.3853224,4,,,,POINT (13.3853224 52.4989541)
26913854,52.4992517,13.3804378,4,,,,POINT (13.3804378 52.4992517)
26913881,52.4987352,13.3802254,4,,,,POINT (13.3802254 52.4987352)
26913884,52.4984925,13.3851673,4,,,,POINT (13.3851673 52.4984925)
26914118,52.5162674,13.3795355,2,,,,POINT (13.3795355 52.5162674)
26934085,52.5200994,13.3851922,3,,,,POINT (13.3851922 52.5200994)
26934351,52.5227555,13.3790266,3,,,,POINT (13.3790266 52.5227555)
26935211,52.5211396,13.3596477,3,,,,POINT (13.3596477 52.5211396)
26935219,52.5207506,13.3596617,3,,,,POINT (13.3596617 52.5207506)
26936194,52.4979318,13.391956,3,,,,POINT (13.391956 52.4979318)
26936200,52.4983247,13.3957316,4,,,,POINT (13.3957316 52.4983247)
26936201,52.4983422,13.3959328,4,,,,POINT (13.3959328 52.4983422)
26936445,52.4895222,13.4057374,4,,,,POINT (13.4057374 52.4895222)
26952349,52.4975816,13.3638874,4,,,,POINT (13.3638874 52.4975816)
26952351,52.4952738,13.36608,4,,,,POINT (13.36608 52.4952738)
26952353,52.4952733,13.3663125,4,,,,POINT (13.3663125 52.4952733)
26952355,52.4936982,13.365565,4,,,,POINT (13.365565 52.4936982)
26952386,52.493519,13.3834905,4,,,,POINT (13.3834905 52.493519)
26952393,52.4914908,13.3767126,4,,,,POINT (13.3767126 52.4914908)
26952401,52.489607,13.3792828,3,,,,POINT (13.3792828 52.489607)
26952402,52.4894027,13.3766981,4,,,,POINT (13.3766981 52.4894027)
26952406,52.4898355,13.3822677,3,,,,POINT (13.3822677 52.4898355)
26952408,52.4915379,13.3827927,4,,,,POINT (13.3827927 52.4915379)
26952411,52.4917457,13.3794359,3,,,,POINT (13.3794359 52.4917457)
26952414,52.4922925,13.3794757,4,,,,POINT (13.3794757 52.4922925)
26952429,52.4912834,13.3867631,3,,,,POINT (13.3867631 52.4912834)
26952502,52.4925507,13.3794863,4,,,,POINT (13.3794863 52.4925507)
26952503,52.4928048,13.3875223,4,,,,POINT (13.3875223 52.4928048)
26952504,52.4900641,13.3863527,4,,,,POINT (13.3863527 52.4900641)
26952837,52.4849352,13.4275799,3,,,,POINT (13.4275799 52.4849352)
26952871,52.4821838,13.4248396,3,,,,POINT (13.4248396 52.4821838)
26952872,52.4814091,13.4249132,3,,,,POINT (13.4249132 52.4814091)
26953570,52.485776,13.464419,3,,,,POINT (13.464419 52.485776)
26953572,52.4847097,13.4660478,4,,,,POINT (13.4660478 52.4847097)
26953583,52.4837267,13.4614155,3,,,,POINT (13.4614155 52.4837267)
26953624,52.4818051,13.4641413,3,,,,POINT (13.4641413 52.4818051)
26953628,52.4832168,13.4667271,3,,,,POINT (13.4667271 52.4832168)
26960736,52.4892271,13.4505233,4,,,,POINT (13.4505233 52.4892271)
26960737,52.4880374,13.4527286,3,,,,POINT (13.4527286 52.4880374)
26960738,52.4889441,13.4539858,4,,,,POINT (13.4539858 52.4889441)
26960746,52.500304,13.4553353,3,,,,POINT (13.4553353 52.500304)
26960747,52.5023892,13.4567836,4,,,,POINT (13.4567836 52.5023892)
26960748,52.508982,13.4599848,4,,,,POINT (13.4599848 52.508982)
26960750,52.512347,13.4700984,4,,,,POINT (13.4700984 52.512347)
26960755,52.505121,13.4713621,4,,,,POINT (13.4713621 52.505121)
26960757,52.5158121,13.4267133,4,,,,POINT (13.4267133 52.5158121)
26960758,52.513489,13.4242829,4,,,,POINT (13.4242829 52.513489)
26960761,52.5097747,13.4211702,4,,,,POINT (13.4211702 52.5097747)
26960762,52.511006,13.4164546,4,,,,POINT (13.4164546 52.511006)
26960764,52.5009329,13.3914552,3,,,,POINT (13.3914552 52.5009329)
26960766,52.5011016,13.3943026,4,,,,POINT (13.3943026 52.5011016)
26960767,52.4852699,13.4265942,3,,,,POINT (13.4265942 52.4852699)
26960768,52.4871988,13.4269331,4,,,,POINT (13.4269331 52.4871988)
26982286,52.5240095,13.3539391,3,,,,POINT (13.3539391 52.5240095)
26982574,52.5237956,13.3607508,4,,,,POINT (13.3607508 52.5237956)
26982575,52.5233484,13.3606862,3,,,,POINT (13.3606862 52.5233484)
26982632,52.5244534,13.3628794,3,,,,POINT (13.3628794 52.5244534)
26982848,52.5263393,13.3517216,3,,,,POINT (13.3517216 52.5263393)
26982853,52.526663,13.355325,4,,,,POINT (13.355325 52.526663)
26983598,52.5262707,13.3587054,3,,,,POINT (13.3587054 52.5262707)
26983608,52.5269348,13.3608308,3,,,,POINT (13.3608308 52.5269348)
26983616,52.525093,13.3596915,4,,,,POINT (13.3596915 52.525093)
26983621,52.5257446,13.3618134,3,,,,POINT (13.3618134 52.5257446)
26991707,52.5347599,13.3546154,1,,,,POINT (13.3546154 52.5347599)
26992493,52.5135789,13.3702815,3,,,,POINT (13.3702815 52.5135789)
26992494,52.5135155,13.3700849,3,motorway_junction,,,POINT (13.3700849 52.5135155)
26999095,52.5201221,13.4223892,3,,,,POINT (13.4223892 52.5201221)
27000363,52.5235646,13.3688033,3,,,,POINT (13.3688033 52.5235646)
27000364,52.523381,13.3697574,3,motorway_junction,,,POINT (13.3697574 52.523381)
27005148,52.5173857,13.3926279,3,,,,POINT (13.3926279 52.5173857)
27006643,52.5022301,13.3693567,3,,,,POINT (13.3693567 52.5022301)
27186884,52.4801888,13.3522311,4,,,,POINT (13.3522311 52.4801888)
27195069,52.523166,13.4701847,3,,,,POINT (13.4701847 52.523166)
27195073,52.5229748,13.4733903,4,,,,POINT (13.4733903 52.5229748)
27195097,52.5240381,13.4668282,3,,,,POINT (13.4668282 52.5240381)
27195111,52.5244069,13.4647296,3,,,,POINT (13.4647296 52.5244069)
27195116,52.5249106,13.4619173,3,,,,POINT (13.4619173 52.5249106)
