osmid,y,x,street_count,highway,ref,junction,railway,geometry
333321909,43.5703646,1.411786,3,,,,,POINT (1.411786 43.5703646)
333321966,43.5680848,1.4066179,3,,,,,POINT (1.4066179 43.5680848)
333725841,43.5801681,1.4494193,3,,,,,POINT (1.4494193 43.5801681)
333725842,43.5794277,1.4496898,1,,,,,POINT (1.4496898 43.5794277)
333734606,43.6067617,1.4733079,4,traffic_signals,,,,POINT (1.4733079 43.6067617)
335567712,43.6070171,1.4473762,3,,,,,POINT (1.4473762 43.6070171)
338171289,43.5861518,1.4379841,3,,,,,POINT (1.4379841 43.5861518)
338171344,43.5844131,1.4370368,3,,,,,POINT (1.4370368 43.5844131)
338171365,43.583982,1.4370785,3,,,,,POINT (1.4370785 43.583982)
338171608,43.5832097,1.4367214,3,,,,,POINT (1.4367214 43.5832097)
338171644,43.5843617,1.4380119,3,,,,,POINT (1.4380119 43.5843617)
338171794,43.5864857,1.4377645,3,,,,,POINT (1.4377645 43.5864857)
338171795,43.5867232,1.437599,3,,,,,POINT (1.437599 43.5867232)
338450989,43.5739807,1.4390299,3,motorway_junction,24,,,POINT (1.4390299 43.5739807)
338451664,43.5741052,1.4401242,3,,,,,POINT (1.4401242 43.5741052)
338462798,43.5768542,1.4362371,3,,,,,POINT (1.4362371 43.5768542)
338468175,43.5840753,1.439795,3,,,,,POINT (1.439795 43.5840753)
338470453,43.5855832,1.4394687,3,,,,,POINT (1.4394687 43.5855832)
338518436,43.5841933,1.4373907,4,,,,,POINT (1.4373907 43.5841933)
338518439,43.5844893,1.437311,3,,,,,POINT (1.437311 43.5844893)
338816677,43.5825462,1.4885171,3,,,,,POINT (1.4885171 43.5825462)
338861867,43.5894589,1.4199346,3,,,,,POINT (1.4199346 43.5894589)
339877473,43.6294249,1.4864611,4,,,,,POINT (1.4864611 43.6294249)
339877475,43.6296406,1.4853588,3,,,,,POINT (1.4853588 43.6296406)
339877479,43.6291165,1.4859591,3,,,,,POINT (1.4859591 43.6291165)
339880924,43.6295735,1.4863469,3,,,,,POINT (1.4863469 43.6295735)
339881017,43.6296142,1.4869212,3,,,,,POINT (1.4869212 43.6296142)
339889738,43.6333328,1.4862685,2,,,,,POINT (1.4862685 43.6333328)
339889783,43.6332553,1.4860301,2,,,,,POINT (1.4860301 43.6332553)
340041682,43.5760037,1.4066674,4,,,,,POINT (1.4066674 43.5760037)
340043583,43.5756747,1.4061611,3,,,,,POINT (1.4061611 43.5756747)
340047674,43.5753364,1.4021004,3,,,,,POINT (1.4021004 43.5753364)
340047675,43.5753799,1.4031193,3,,,,,POINT (1.4031193 43.5753799)
340047678,43.575367,1.4025393,3,,,,,POINT (1.4025393 43.575367)
340047679,43.5751543,1.402536,3,,,,,POINT (1.402536 43.5751543)
340047682,43.5753698,1.4025775,3,,,,,POINT (1.4025775 43.5753698)
340047685,43.5761265,1.4025615,1,,,,,POINT (1.4025615 43.5761265)
340047707,43.5749779,1.4031612,3,,,,,POINT (1.4031612 43.5749779)
340047744,43.5758291,1.4032141,3,,,,,POINT (1.4032141 43.5758291)
340047869,43.5758291,1.4037773,3,,,,,POINT (1.4037773 43.5758291)
340326794,43.6096419,1.4934989,4,,,,,POINT (1.4934989 43.6096419)
340326795,43.6096773,1.4938916,4,,,,,POINT (1.4938916 43.6096773)
340326796,43.6096803,1.4942219,3,crossing,,,,POINT (1.4942219 43.6096803)
340326799,43.6096878,1.4940696,3,,,,,POINT (1.4940696 43.6096878)
340326822,43.6090602,1.4902635,3,,,,,POINT (1.4902635 43.6090602)
340331228,43.6179061,1.4924382,3,,,,,POINT (1.4924382 43.6179061)
340331230,43.6179067,1.4926577,3,,,,,POINT (1.4926577 43.6179067)
340331237,43.6176295,1.4926644,3,,,,,POINT (1.4926644 43.6176295)
340331239,43.6183706,1.4927337,3,,,,,POINT (1.4927337 43.6183706)
340331253,43.6221764,1.4930597,3,,,,,POINT (1.4930597 43.6221764)
340331402,43.6224699,1.4928851,3,,,,,POINT (1.4928851 43.6224699)
340331431,43.6229415,1.4924989,3,,,,,POINT (1.4924989 43.6229415)
340331436,43.6231581,1.4908028,3,,,,,POINT (1.4908028 43.6231581)
340362172,43.6221319,1.4716083,3,,,,,POINT (1.4716083 43.6221319)
340362197,43.6221291,1.4717028,3,,,,,POINT (1.4717028 43.6221291)
340363608,43.6258094,1.453597,1,,,,,POINT (1.453597 43.6258094)
340402613,43.6399056,1.4156928,3,,,,,POINT (1.4156928 43.6399056)
340405143,43.635607,1.4173946,3,,,,,POINT (1.4173946 43.635607)
340405145,43.6375203,1.4173762,3,,,,,POINT (1.4173762 43.6375203)
340405146,43.6382924,1.4196435,3,,,,,POINT (1.4196435 43.6382924)
340405147,43.6353236,1.4174354,3,,,,,POINT (1.4174354 43.6353236)
340405149,43.6351372,1.4174354,3,,,,,POINT (1.4174354 43.6351372)
340405150,43.6350844,1.4175958,3,,,,,POINT (1.4175958 43.6350844)
340405153,43.6352218,1.4177921,3,,,,,POINT (1.4177921 43.6352218)
340405154,43.6353605,1.4176824,3,,,,,POINT (1.4176824 43.6353605)
340405155,43.6353752,1.4176165,3,,,,,POINT (1.4176165 43.6353752)
340405164,43.6384691,1.4152766,1,,,,,POINT (1.4152766 43.6384691)
340405168,43.635696,1.412491,3,,,,,POINT (1.412491 43.635696)
340405170,43.6349391,1.4169573,1,turning_circle,,,,POINT (1.4169573 43.6349391)
340407931,43.6345193,1.4172679,3,,,,,POINT (1.4172679 43.6345193)
340407934,43.6340674,1.4184921,3,,,,,POINT (1.4184921 43.6340674)
340407938,43.639644,1.418733,3,,,,,POINT (1.418733 43.639644)
340407940,43.6402719,1.4201412,1,turning_circle,,,,POINT (1.4201412 43.6402719)
340444398,43.5720437,1.4386433,4,,,,,POINT (1.4386433 43.5720437)
340844552,43.6222856,1.4720987,3,,,,,POINT (1.4720987 43.6222856)
341173703,43.58423,1.4315822,3,,,,,POINT (1.4315822 43.58423)
341194731,43.5732649,1.474709,3,crossing,,,,POINT (1.474709 43.5732649)
341355252,43.5847302,1.4318068,3,,,,,POINT (1.4318068 43.5847302)
344281291,43.5670812,1.411116,3,,,,,POINT (1.411116 43.5670812)
344281294,43.5674007,1.4113908,3,,,,,POINT (1.4113908 43.5674007)
344281298,43.5686478,1.4112366,3,,,,,POINT (1.4112366 43.5686478)
344281300,43.5687111,1.4106201,3,,,,,POINT (1.4106201 43.5687111)
344281310,43.5682895,1.4124087,3,,,,,POINT (1.4124087 43.5682895)
344281326,43.5692577,1.4107297,3,,,,,POINT (1.4107297 43.5692577)
344281336,43.5687074,1.4129627,4,,,,,POINT (1.4129627 43.5687074)
344281340,43.5682925,1.4134704,4,,,,,POINT (1.4134704 43.5682925)
344281372,43.5689041,1.4132282,3,,,,,POINT (1.4132282 43.5689041)
344281403,43.5685961,1.4137669,3,,,,,POINT (1.4137669 43.5685961)
344281413,43.5688116,1.4130939,4,,,,,POINT (1.4130939 43.5688116)
344281415,43.5699244,1.4112174,3,,,,,POINT (1.4112174 43.5699244)
344281424,43.5705072,1.4109062,3,,,,,POINT (1.4109062 43.5705072)
344281428,43.5696629,1.4085376,1,,,,,POINT (1.4085376 43.5696629)
344281433,43.56857,1.4133914,3,,,,,POINT (1.4133914 43.56857)
344488243,43.6055944,1.3969509,1,turning_circle,,,,POINT (1.3969509 43.6055944)
344497703,43.6130798,1.401497,3,,,,,POINT (1.401497 43.6130798)
344497713,43.6132755,1.4020528,3,,,,,POINT (1.4020528 43.6132755)
344730864,43.6025435,1.4808291,3,,,,,POINT (1.4808291 43.6025435)
344730869,43.6026728,1.4808533,1,,,,,POINT (1.4808533 43.6026728)
344733529,43.5973071,1.4834812,3,,,,,POINT (1.4834812 43.5973071)
344734305,43.5967301,1.4753482,3,,,,,POINT (1.4753482 43.5967301)
344734307,43.5963481,1.4761765,3,,,,,POINT (1.4761765 43.5963481)
344742810,43.6085489,1.4526846,3,,,,,POINT (1.4526846 43.6085489)
344747544,43.6117643,1.4572353,3,,,,,POINT (1.4572353 43.6117643)
344752164,43.6074134,1.4480276,3,,,,,POINT (1.4480276 43.6074134)
344752165,43.6075553,1.4468186,3,,,,,POINT (1.4468186 43.6075553)
344761326,43.6059058,1.4419177,3,,,,,POINT (1.4419177 43.6059058)
344770417,43.5962451,1.4493868,3,,,,,POINT (1.4493868 43.5962451)
344770419,43.5959375,1.447994,3,,,,,POINT (1.447994 43.5959375)
344770422,43.5967956,1.4503484,3,,,,,POINT (1.4503484 43.5967956)
344770469,43.5974166,1.4482094,3,,,,,POINT (1.4482094 43.5974166)
344770472,43.5981138,1.4487172,3,,,,,POINT (1.4487172 43.5981138)
344770476,43.5982974,1.4489712,4,,,,,POINT (1.4489712 43.5982974)
344770505,43.6001267,1.4495167,3,,,,,POINT (1.4495167 43.6001267)
344770515,43.5987384,1.4489492,3,,,,,POINT (1.4489492 43.5987384)
344777387,43.5977521,1.4515802,3,,,,,POINT (1.4515802 43.5977521)
344790657,43.5939407,1.4092814,3,,,,,POINT (1.4092814 43.5939407)
344790659,43.5937397,1.4089686,3,,,,,POINT (1.4089686 43.5937397)
344790670,43.5933698,1.4089518,3,,,,,POINT (1.4089518 43.5933698)
344794295,43.6059151,1.405536,1,,,,,POINT (1.405536 43.6059151)
344794371,43.6126711,1.4186752,1,,,,,POINT (1.4186752 43.6126711)
344795144,43.6184698,1.4178216,3,,,,,POINT (1.4178216 43.6184698)
344795145,43.618945,1.4176893,3,,,,,POINT (1.4176893 43.618945)
