u,v,key,osmid,highway,lanes,maxspeed,name,ref,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,bridge,tunnel,access,junction,Groups
69227179,69339467,0,9254743,residential,,,Dickson Place Northeast,,False,False,91.20969995919268,"LINESTRING (-84.380946 33.783027, -84.380858 33.783844)",91.20969995919268,1.2661428519340934,0.0002451581269919,,,,,C
69227179,69227178,0,198659569,residential,,25 mph,11th Street Northeast,,False,True,129.84973849607485,"LINESTRING (-84.380946 33.783027, -84.3818336 33.7830276, -84.382276 33.7830279, -84.382351 33.783028)",129.84973849607485,1.7408848589951549,0.0013021395366956,,,,,C
69227179,69227188,0,1106743472,residential,2,25 mph,11th Street Northeast,,False,False,97.45105817326206,"LINESTRING (-84.380946 33.783027, -84.380526 33.7830237, -84.3800042 33.7830218, -84.3798918 33.783016)",97.45105817326208,1.4934755733518366,4.015831996826771e-05,,,,,C
69227188,69387097,0,9272986,secondary,3,35 mph,Piedmont Avenue Northeast,,True,False,44.0123700065129,"LINESTRING (-84.3798918 33.783016, -84.379577 33.783313)",802.4279781569526,8.241690345573224,0.0047106671198705,,,,,B
69227188,69227179,0,1106743472,residential,2,25 mph,11th Street Northeast,,False,True,97.45105817326208,"LINESTRING (-84.3798918 33.783016, -84.3800042 33.7830218, -84.380526 33.7830237, -84.380946 33.783027)",97.45105817326206,1.493475573351837,0.001053374374976,,,,,C
69227192,69227200,0,9246227,residential,,,11th Street Northeast,,False,False,178.8851136002503,"LINESTRING (-84.380191 33.7825982, -84.3801042 33.782597, -84.3794926 33.7825805, -84.3793565 33.782579, -84.3791837 33.7825771, -84.3789082 33.7825741, -84.3782559 33.7825657)",178.8851136002503,1.2623878570278997,0.0002451581269919,,,,,C
69227192,69227188,0,9272986,secondary,3,35 mph,Piedmont Avenue Northeast,,True,False,54.28124284671935,"LINESTRING (-84.380191 33.7825982, -84.3801735 33.7826335, -84.380141 33.782699, -84.380077 33.782796, -84.3798918 33.783016)",650.2496496828401,8.599339548172036,0.0057238831748783,,,,,B
69227200,69227192,0,9246227,residential,,,11th Street Northeast,,False,True,178.8851136002503,"LINESTRING (-84.3782559 33.7825657, -84.3789082 33.7825741, -84.3791837 33.7825771, -84.3793565 33.782579, -84.3794926 33.7825805, -84.3801042 33.782597, -84.380191 33.7825982)",178.8851136002503,1.262387857027899,0.0002451581269919,,,,,C
69228746,8082786908,0,9246349,residential,,,3rd Street Northeast,,False,False,85.29935448120435,"LINESTRING (-84.3873345 33.7738329, -84.3871895 33.7738128, -84.3870062 33.7738004, -84.3865111 33.7737716, -84.3864629 33.7737688, -84.3864157 33.773766)",85.29935448120435,1.815405648597148,0.0013459048913915,,,,,C
69228746,69233387,0,144417817,residential,,,3rd Street Northwest,,False,True,138.6403202332849,"LINESTRING (-84.3873345 33.7738329, -84.3874595 33.7738501, -84.3879442 33.7738604, -84.3879969 33.7738611, -84.3880972 33.7738625, -84.3882203 33.7738642, -84.3883148 33.7738656, -84.3887328 33.7738714, -84.3888318 33.7738811)",138.6403202332849,1.6255814265818591,0.00138023183855,,,,,C
