osmid,y,x,street_count,highway,junction,ref,railway,geometry
535228371,41.4022294,2.1275866,4,,,,,POINT (2.1275866 41.4022294)
535228373,41.4015794,2.126428,4,,,,,POINT (2.126428 41.4015794)
535228377,41.403532,2.1279558,4,traffic_signals,,,,POINT (2.1279558 41.403532)
535228378,41.4006886,2.1307564,4,,,,,POINT (2.1307564 41.4006886)
535228382,41.4029516,2.1268729,4,traffic_signals,,,,POINT (2.1268729 41.4029516)
535228385,41.4001041,2.1296731,4,,,,,POINT (2.1296731 41.4001041)
535228390,41.3992956,2.1304784,4,,,,,POINT (2.1304784 41.3992956)
535228394,41.3986261,2.1311634,4,,,,,POINT (2.1311634 41.3986261)
535228398,41.3994802,2.1284748,4,,,,,POINT (2.1284748 41.3994802)
535228401,41.398573,2.1293718,4,,,,,POINT (2.1293718 41.398573)
535233402,41.4047744,2.1494857,3,,,,,POINT (2.1494857 41.4047744)
535233407,41.4027981,2.1501463,3,,,,,POINT (2.1501463 41.4027981)
535233410,41.4030013,2.1493443,4,,,,,POINT (2.1493443 41.4030013)
535233433,41.4063534,2.1471793,3,,,,,POINT (2.1471793 41.4063534)
535233455,41.4080487,2.1449444,3,,,,,POINT (2.1449444 41.4080487)
535233519,41.406628,2.1436722,3,,,,,POINT (2.1436722 41.406628)
535563200,41.3805984,2.1351659,3,,,,,POINT (2.1351659 41.3805984)
535563201,41.3804141,2.1363993,4,,,,,POINT (2.1363993 41.3804141)
535563205,41.3809403,2.1360578,4,,,,,POINT (2.1360578 41.3809403)
535657125,41.3754582,2.1322008,4,,,,,POINT (2.1322008 41.3754582)
535657129,41.3762517,2.1317459,4,,,,,POINT (2.1317459 41.3762517)
536418253,41.4000834,2.1799739,4,,,,,POINT (2.1799739 41.4000834)
536418264,41.398194,2.1824589,4,,,,,POINT (2.1824589 41.398194)
536418296,41.397312,2.1836234,5,,,,,POINT (2.1836234 41.397312)
536428053,41.3923147,2.1902736,4,,,,,POINT (2.1902736 41.3923147)
