osmid,y,x,street_count,highway,geometry
957642715,51.4710635,-3.1939383,3,,POINT (-3.1939383 51.4710635)
957642716,51.4701268,-3.1954703,1,,POINT (-3.1954703 51.4701268)
957642717,51.4697607,-3.1950509,3,,POINT (-3.1950509 51.4697607)
957642718,51.4701589,-3.1915163,1,,POINT (-3.1915163 51.4701589)
957642720,51.4709622,-3.1923547,4,mini_roundabout,POINT (-3.1923547 51.4709622)
957642724,51.4708253,-3.1950845,3,,POINT (-3.1950845 51.4708253)
957642725,51.4713089,-3.1934074,3,,POINT (-3.1934074 51.4713089)
958770622,51.4719309,-3.191764,3,,POINT (-3.191764 51.4719309)
958770625,51.472388,-3.1921805,3,,POINT (-3.1921805 51.472388)
958770649,51.4720349,-3.1943824,3,,POINT (-3.1943824 51.4720349)
958770652,51.4718463,-3.1947779,3,,POINT (-3.1947779 51.4718463)
958770713,51.4713632,-3.1932443,3,,POINT (-3.1932443 51.4713632)
958770727,51.4714593,-3.1933132,3,,POINT (-3.1933132 51.4714593)
958770733,51.4714159,-3.1934884,3,,POINT (-3.1934884 51.4714159)
958770777,51.4740684,-3.1980944,3,,POINT (-3.1980944 51.4740684)
958770795,51.4731599,-3.1985665,3,,POINT (-3.1985665 51.4731599)
958770846,51.4728159,-3.1943933,1,,POINT (-3.1943933 51.4728159)
958770865,51.4730786,-3.1950382,1,,POINT (-3.1950382 51.4730786)
958770868,51.4729101,-3.1952808,3,,POINT (-3.1952808 51.4729101)
958770878,51.4735223,-3.1958085,3,,POINT (-3.1958085 51.4735223)
958770879,51.4733428,-3.1961879,3,,POINT (-3.1961879 51.4733428)
958770880,51.4740316,-3.1960854,1,,POINT (-3.1960854 51.4740316)
958770882,51.473908,-3.1965313,3,,POINT (-3.1965313 51.473908)
958770888,51.4745887,-3.1982712,1,turning_circle,POINT (-3.1982712 51.4745887)
958770902,51.4735377,-3.1975214,3,,POINT (-3.1975214 51.4735377)
958770904,51.4732212,-3.1973533,1,turning_circle,POINT (-3.1973533 51.4732212)
958770966,51.4718413,-3.1940248,3,,POINT (-3.1940248 51.4718413)
958770983,51.4748624,-3.1976835,1,,POINT (-3.1976835 51.4748624)
958770989,51.4723437,-3.1940941,1,,POINT (-3.1940941 51.4723437)
960752553,51.4687551,-3.1896704,1,,POINT (-3.1896704 51.4687551)
960752555,51.4691433,-3.1898732,1,,POINT (-3.1898732 51.4691433)
960752556,51.4692607,-3.1892907,3,,POINT (-3.1892907 51.4692607)
960752564,51.4695305,-3.1901257,1,,POINT (-3.1901257 51.4695305)
960752566,51.4696539,-3.1894829,3,,POINT (-3.1894829 51.4696539)
960752567,51.4699106,-3.1903952,1,,POINT (-3.1903952 51.4699106)
960752570,51.4700457,-3.1896776,3,,POINT (-3.1896776 51.4700457)
986353904,51.4813254,-3.1956954,1,,POINT (-3.1956954 51.4813254)
986353912,51.4816063,-3.191635,3,,POINT (-3.191635 51.4816063)
986353915,51.4813705,-3.1932943,1,,POINT (-3.1932943 51.4813705)
986353919,51.480957,-3.1962403,3,,POINT (-3.1962403 51.480957)
1000801840,51.4742805,-3.2010213,3,,POINT (-3.2010213 51.4742805)
1000801897,51.4745929,-3.2000428,3,,POINT (-3.2000428 51.4745929)
1001416981,51.4838748,-3.1719781,4,,POINT (-3.1719781 51.4838748)
1015902551,51.4662075,-3.213643,1,,POINT (-3.213643 51.4662075)
1016000725,51.4769737,-3.2139932,1,,POINT (-3.2139932 51.4769737)
1016000754,51.4770905,-3.2052255,3,,POINT (-3.2052255 51.4770905)
1016000759,51.4785081,-3.2134808,3,,POINT (-3.2134808 51.4785081)
1016000775,51.4769027,-3.214236,3,,POINT (-3.214236 51.4769027)
1016000788,51.4777051,-3.2159051,3,,POINT (-3.2159051 51.4777051)
1016000817,51.4768175,-3.2144727,3,,POINT (-3.2144727 51.4768175)
1016000826,51.4763948,-3.2141086,3,,POINT (-3.2141086 51.4763948)
1016000837,51.4783605,-3.2124982,3,,POINT (-3.2124982 51.4783605)
1016000912,51.4831251,-3.2192361,1,,POINT (-3.2192361 51.4831251)
1016000922,51.4777891,-3.2159836,1,,POINT (-3.2159836 51.4777891)
1016000931,51.4765384,-3.2136588,1,,POINT (-3.2136588 51.4765384)
1016000952,51.4776945,-3.2139061,3,,POINT (-3.2139061 51.4776945)
1016000957,51.475422,-3.2057637,1,,POINT (-3.2057637 51.475422)
1016000982,51.47872,-3.213656,1,,POINT (-3.213656 51.47872)
1016001000,51.4762375,-3.2145608,1,,POINT (-3.2145608 51.4762375)
1016001034,51.4757443,-3.2136816,3,,POINT (-3.2136816 51.4757443)
1016001088,51.4782231,-3.2143627,3,,POINT (-3.2143627 51.4782231)
1016001096,51.4773469,-3.2050452,1,,POINT (-3.2050452 51.4773469)
1016001109,51.4781288,-3.2118944,1,,POINT (-3.2118944 51.4781288)
1016001125,51.4781908,-3.211672,1,,POINT (-3.211672 51.4781908)
1016001139,51.4779698,-3.2130266,1,,POINT (-3.2130266 51.4779698)
1016001146,51.4779696,-3.2151166,3,,POINT (-3.2151166 51.4779696)
1016001173,51.4782171,-3.2153306,1,,POINT (-3.2153306 51.4782171)
