osmid,y,x,street_count,highway,ref,geometry
8721994424,39.9125779,116.343115,4,,,POINT (116.343115 39.9125779)
8742540337,39.9083948,116.370127,3,crossing,,POINT (116.370127 39.9083948)
8742547293,39.9169664,116.3447982,3,,,POINT (116.3447982 39.9169664)
8772517685,39.8825246,116.3547596,3,,,POINT (116.3547596 39.8825246)
8772517687,39.8819971,116.3538533,3,,,POINT (116.3538533 39.8819971)
8809675558,39.9081207,116.414372,1,,,POINT (116.414372 39.9081207)
8809675559,39.9081221,116.4145504,3,,,POINT (116.4145504 39.9081221)
8809675561,39.907903,116.4145637,3,,,POINT (116.4145637 39.907903)
8809675562,39.9078995,116.4147227,1,,,POINT (116.4147227 39.9078995)
8809675571,39.9070754,116.4182233,3,,,POINT (116.4182233 39.9070754)
8809675572,39.9072825,116.4182232,1,,,POINT (116.4182232 39.9072825)
8809676322,39.897643,116.4236405,4,,,POINT (116.4236405 39.897643)
8829323550,39.8793713,116.3682457,3,,,POINT (116.3682457 39.8793713)
8829323555,39.8812825,116.3574209,3,,,POINT (116.3574209 39.8812825)
8835880543,39.9058974,116.3855503,4,,,POINT (116.3855503 39.9058974)
8835880545,39.906945,116.4116534,4,,,POINT (116.4116534 39.906945)
8835880546,39.9067736,116.4116624,4,,,POINT (116.4116624 39.9067736)
8835880547,39.9067791,116.4119033,4,,,POINT (116.4119033 39.9067791)
8835880548,39.9069503,116.4119,4,,,POINT (116.4119 39.9069503)
8835880555,39.9071039,116.4206977,4,,,POINT (116.4206977 39.9071039)
8835880556,39.9069451,116.4206952,4,,,POINT (116.4206952 39.9069451)
8835880557,39.9069492,116.4209042,4,,,POINT (116.4209042 39.9069492)
8835880558,39.9071101,116.4208961,4,,,POINT (116.4208961 39.9071101)
8841911924,39.8774606,116.3758448,3,,,POINT (116.3758448 39.8774606)
8850288770,39.8836473,116.3527479,3,,,POINT (116.3527479 39.8836473)
8890519659,39.9468979,116.35372,3,,,POINT (116.35372 39.9468979)
8890519664,39.9492061,116.3566196,3,,,POINT (116.3566196 39.9492061)
8897698505,39.9425107,116.4368267,1,,,POINT (116.4368267 39.9425107)
8940246694,39.9376729,116.3639135,1,,,POINT (116.3639135 39.9376729)
8940246695,39.9376905,116.362364,3,,,POINT (116.362364 39.9376905)
8940310915,39.9454367,116.3445802,3,,,POINT (116.3445802 39.9454367)
8940334841,39.9454569,116.3450387,1,,,POINT (116.3450387 39.9454569)
8949933004,39.9486367,116.409913,3,,,POINT (116.409913 39.9486367)
8949933005,39.9486474,116.4101132,3,,,POINT (116.4101132 39.9486474)
8950195664,39.9499995,116.4021248,4,,,POINT (116.4021248 39.9499995)
8958308348,39.8795427,116.4302476,1,,,POINT (116.4302476 39.8795427)
8958506949,39.9100019,116.4304923,1,,,POINT (116.4304923 39.9100019)
8958550931,39.8991514,116.4185619,3,,,POINT (116.4185619 39.8991514)
9007658080,39.8900213,116.3441355,3,,,POINT (116.3441355 39.8900213)
9007658115,39.8843386,116.3438562,4,,,POINT (116.3438562 39.8843386)
9008943996,39.8947038,116.3467633,3,,,POINT (116.3467633 39.8947038)
9015750642,39.8880226,116.3591128,3,,,POINT (116.3591128 39.8880226)
9015750643,39.8881483,116.3587846,3,,,POINT (116.3587846 39.8881483)
9015750644,39.8879839,116.3610118,3,,,POINT (116.3610118 39.8879839)
9015750645,39.8881177,116.36066,3,,,POINT (116.36066 39.8881177)
9024379615,39.9214493,116.3566589,3,,,POINT (116.3566589 39.9214493)
9030297676,39.881945,116.3438295,4,,,POINT (116.3438295 39.881945)
9030297682,39.8844021,116.3437948,3,,,POINT (116.3437948 39.8844021)
9030297683,39.884339,116.3437952,3,,,POINT (116.3437952 39.884339)
9030297684,39.8853649,116.3439098,3,,,POINT (116.3439098 39.8853649)
9030297685,39.8830848,116.3438017,3,,,POINT (116.3438017 39.8830848)
9030297686,39.8824597,116.3438066,3,,,POINT (116.3438066 39.8824597)
9030297687,39.87913,116.3439865,3,,,POINT (116.3439865 39.87913)
9030297688,39.8774939,116.344086,3,,,POINT (116.344086 39.8774939)
9033666117,39.905847,116.3765679,4,,,POINT (116.3765679 39.905847)
9033666118,39.9056754,116.3765627,4,,,POINT (116.3765627 39.9056754)
9034901034,39.9059153,116.3530551,3,,,POINT (116.3530551 39.9059153)
9049469431,39.8924535,116.4126901,3,,,POINT (116.4126901 39.8924535)
9049469436,39.8895842,116.4127846,3,,,POINT (116.4127846 39.8895842)
9049469438,39.8909675,116.4125222,3,,,POINT (116.4125222 39.8909675)
9049469459,39.891413,116.4130634,3,,,POINT (116.4130634 39.891413)
9049469462,39.8915836,116.4111383,3,,,POINT (116.4111383 39.8915836)
9049469463,39.8914215,116.4113859,3,,,POINT (116.4113859 39.8914215)
9049469469,39.8946163,116.4125582,3,,,POINT (116.4125582 39.8946163)
9049469470,39.8947037,116.4127208,4,,,POINT (116.4127208 39.8947037)
9055657295,39.8797573,116.4242351,3,,,POINT (116.4242351 39.8797573)
9055657296,39.8793561,116.4242576,3,,,POINT (116.4242576 39.8793561)
9055657298,39.8791203,116.4241263,3,,,POINT (116.4241263 39.8791203)
9055657300,39.8790687,116.4242855,3,,,POINT (116.4242855 39.8790687)
9055664164,39.878669,116.42522,3,,,POINT (116.42522 39.878669)
9055664191,39.8791956,116.4243491,3,,,POINT (116.4243491 39.8791956)
9055664194,39.8792529,116.421544,3,,,POINT (116.421544 39.8792529)
9055664208,39.8766511,116.4225292,3,,,POINT (116.4225292 39.8766511)
9056190709,39.8797895,116.4237659,3,,,POINT (116.4237659 39.8797895)
9056190712,39.879718,116.423782,3,,,POINT (116.423782 39.879718)
9056200274,39.8796677,116.4191568,3,,,POINT (116.4191568 39.8796677)
9056200369,39.8821079,116.4129324,2,,,POINT (116.4129324 39.8821079)
9056200370,39.8821122,116.4130487,2,,,POINT (116.4130487 39.8821122)
9056200372,39.8821804,116.4145322,3,,,POINT (116.4145322 39.8821804)
9056383276,39.8813113,116.4129643,3,,,POINT (116.4129643 39.8813113)
9056383277,39.8819678,116.4129348,3,,,POINT (116.4129348 39.8819678)
9056383282,39.8820234,116.413144,3,,,POINT (116.413144 39.8820234)
9056383283,39.8812522,116.4131627,3,,,POINT (116.4131627 39.8812522)
9056383284,39.8818959,116.4124277,3,,,POINT (116.4124277 39.8818959)
9056383285,39.8813845,116.4124496,3,,,POINT (116.4124496 39.8813845)
9056390121,39.8797069,116.4242379,4,,,POINT (116.4242379 39.8797069)
9058140239,39.879265,116.4214068,3,,,POINT (116.4214068 39.879265)
9058141766,39.8785943,116.4187239,3,,,POINT (116.4187239 39.8785943)
9058141767,39.8786023,116.419145,1,,,POINT (116.419145 39.8786023)
9058250166,39.8799568,116.4258024,1,,,POINT (116.4258024 39.8799568)
9063565794,39.8771766,116.3682409,4,,,POINT (116.3682409 39.8771766)
9063565797,39.8878293,116.3688077,3,,,POINT (116.3688077 39.8878293)
9063565807,39.8820113,116.3678829,4,,,POINT (116.3678829 39.8820113)
9063565809,39.8771373,116.3678938,3,,,POINT (116.3678938 39.8771373)
9063565811,39.8801606,116.3678873,3,,,POINT (116.3678873 39.8801606)
9063565814,39.8808164,116.3682653,3,,,POINT (116.3682653 39.8808164)
9063565815,39.8809573,116.3684514,3,,,POINT (116.3684514 39.8809573)
9063565816,39.8782326,116.3682448,3,,,POINT (116.3682448 39.8782326)
9063583617,39.8784236,116.3684159,4,,,POINT (116.3684159 39.8784236)
9063583618,39.879158,116.368415,3,,,POINT (116.368415 39.879158)
9063583619,39.8786057,116.3697723,3,,,POINT (116.3697723 39.8786057)
9063583653,39.8819611,116.3802365,3,,,POINT (116.3802365 39.8819611)
9063583654,39.8816693,116.3811525,3,,,POINT (116.3811525 39.8816693)
9063921182,39.9062601,116.38943,3,,,POINT (116.38943 39.9062601)
9063921183,39.9060159,116.3894463,4,,,POINT (116.3894463 39.9060159)
9063921184,39.9062755,116.3968665,3,,,POINT (116.3968665 39.9062755)
9063921186,39.9061255,116.3930805,4,,,POINT (116.3930805 39.9061255)
9063921187,39.9063729,116.3930703,3,,,POINT (116.3930703 39.9063729)
9063921188,39.9049032,116.4120474,3,,,POINT (116.4120474 39.9049032)
9063921189,39.9048115,116.4118297,3,,,POINT (116.4118297 39.9048115)
9063939451,39.8804609,116.381159,3,,,POINT (116.381159 39.8804609)
9063939458,39.8792087,116.3810032,3,,,POINT (116.3810032 39.8792087)
