osmid,y,x,highway,street_count,ref,junction,geometry
42428408,40.7157586,-74.0049777,traffic_signals,3,,,POINT (-74.0049777 40.7157586)
42428411,40.7162939,-74.0045248,traffic_signals,4,,,POINT (-74.0045248 40.7162939)
42428420,40.717449,-74.003533,traffic_signals,4,,,POINT (-74.003533 40.717449)
42428425,40.7180338,-74.003043,traffic_signals,4,,,POINT (-74.003043 40.7180338)
42428428,40.7186389,-74.0025285,traffic_signals,4,,,POINT (-74.0025285 40.7186389)
42428431,40.719153,-74.002091,,3,,,POINT (-74.002091 40.719153)
42428433,40.7194015,-74.0018814,traffic_signals,4,,,POINT (-74.0018814 40.7194015)
42428434,40.719938,-74.001425,traffic_signals,4,,,POINT (-74.001425 40.719938)
42428436,40.7208548,-74.0006545,traffic_signals,4,,,POINT (-74.0006545 40.7208548)
42428438,40.7217942,-73.9998623,,4,,,POINT (-73.9998623 40.7217942)
42428441,40.723021,-73.998812,traffic_signals,4,,,POINT (-73.998812 40.723021)
42428444,40.724235,-73.997785,traffic_signals,4,,,POINT (-73.997785 40.724235)
42428447,40.7255012,-73.9967146,traffic_signals,4,,,POINT (-73.9967146 40.7255012)
42428454,40.727212,-73.99527,traffic_signals,3,,,POINT (-73.99527 40.727212)
42428458,40.7278276,-73.9947496,traffic_signals,4,,,POINT (-73.9947496 40.7278276)
42428460,40.728413,-73.994252,traffic_signals,4,,,POINT (-73.994252 40.728413)
42428464,40.729009,-73.993747,traffic_signals,3,,,POINT (-73.993747 40.729009)
42428468,40.729581,-73.993262,traffic_signals,3,,,POINT (-73.993262 40.729581)
42428471,40.73008,-73.992841,traffic_signals,3,,,POINT (-73.992841 40.73008)
42428473,40.7306005,-73.9924142,traffic_signals,4,,,POINT (-73.9924142 40.7306005)
42428476,40.7311834,-73.9919247,traffic_signals,4,,,POINT (-73.9919247 40.7311834)
42428480,40.7317437,-73.9914641,,4,,,POINT (-73.9914641 40.7317437)
42428483,40.732449,-73.991289,traffic_signals,3,,,POINT (-73.991289 40.732449)
42428489,40.733214,-73.991114,traffic_signals,4,,,POINT (-73.991114 40.733214)
42428491,40.7339814,-73.990953,traffic_signals,4,,,POINT (-73.990953 40.7339814)
42428493,40.7347875,-73.9907407,,4,,,POINT (-73.9907407 40.7347875)
42428570,40.7689504,-73.9822001,traffic_signals,4,,,POINT (-73.9822001 40.7689504)
42428575,40.7706115,-73.9822476,traffic_signals,4,,,POINT (-73.9822476 40.7706115)
42428579,40.7714348,-73.9822603,traffic_signals,4,,,POINT (-73.9822603 40.7714348)
42428588,40.7726558,-73.9822863,,4,,,POINT (-73.9822863 40.7726558)
42428595,40.7739227,-73.9823188,traffic_signals,4,,,POINT (-73.9823188 40.7739227)
42428598,40.7747214,-73.9822972,traffic_signals,4,,,POINT (-73.9822972 40.7747214)
42428601,40.7755283,-73.9822622,traffic_signals,4,,,POINT (-73.9822622 40.7755283)
42428604,40.7763295,-73.9822243,traffic_signals,4,,,POINT (-73.9822243 40.7763295)
42428610,40.7771434,-73.9822172,traffic_signals,4,,,POINT (-73.9822172 40.7771434)
42428634,40.7787867,-73.9820522,traffic_signals,4,,,POINT (-73.9820522 40.7787867)
42428637,40.7795842,-73.9818317,traffic_signals,4,,,POINT (-73.9818317 40.7795842)
42428640,40.7803341,-73.9816325,traffic_signals,4,,,POINT (-73.9816325 40.7803341)
42428645,40.7818019,-73.9811764,traffic_signals,4,,,POINT (-73.9811764 40.7818019)
42428648,40.7825317,-73.9809157,traffic_signals,4,,,POINT (-73.9809157 40.7825317)
42428653,40.783893,-73.9800838,traffic_signals,4,,,POINT (-73.9800838 40.783893)
42429314,40.7815342,-73.9604148,traffic_signals,3,,,POINT (-73.9604148 40.7815342)
42429324,40.7808601,-73.9588013,traffic_signals,4,,,POINT (-73.9588013 40.7808601)
42429330,40.7801496,-73.9571181,traffic_signals,4,,,POINT (-73.9571181 40.7801496)
42429334,40.7795073,-73.9555832,traffic_signals,4,,,POINT (-73.9555832 40.7795073)
42429338,40.7788275,-73.9539771,traffic_signals,4,,,POINT (-73.9539771 40.7788275)
42429340,40.7778838,-73.9517401,traffic_signals,4,,,POINT (-73.9517401 40.7778838)
42429342,40.776888,-73.9493698,traffic_signals,4,,,POINT (-73.9493698 40.776888)
42429348,40.7749461,-73.9447748,traffic_signals,3,,,POINT (-73.9447748 40.7749461)
42429373,40.735313,-73.994118,traffic_signals,4,,,POINT (-73.994118 40.735313)
42429374,40.736668,-73.997341,traffic_signals,4,,,POINT (-73.997341 40.736668)
42429375,40.7378614,-74.0001742,traffic_signals,4,,,POINT (-74.0001742 40.7378614)
42429378,40.7387436,-74.0024001,traffic_signals,4,,,POINT (-74.0024001 40.7387436)
42429388,40.7390953,-74.0030301,,3,,,POINT (-74.0030301 40.7390953)
42429390,40.7393719,-74.0037552,,3,,,POINT (-74.0037552 40.7393719)
42429394,40.7400297,-74.0053043,traffic_signals,4,,,POINT (-74.0053043 40.7400297)
42429412,40.7409542,-74.0074898,,4,,,POINT (-74.0074898 40.7409542)
42429431,40.7414615,-74.0087032,,3,,,POINT (-74.0087032 40.7414615)
42429562,40.7137935,-74.0088231,traffic_signals,4,,,POINT (-74.0088231 40.7137935)
42429563,40.7143998,-74.010163,traffic_signals,4,,,POINT (-74.010163 40.7143998)
42429565,40.714913,-74.0113363,traffic_signals,4,,,POINT (-74.0113363 40.714913)
42429570,40.7152226,-74.0132124,traffic_signals,4,,,POINT (-74.0132124 40.7152226)
42429595,40.7155687,-74.0155973,traffic_signals,3,,,POINT (-74.0155973 40.7155687)
42429630,40.7158297,-74.0153827,traffic_signals,4,,,POINT (-74.0153827 40.7158297)
42429633,40.7162867,-74.0164449,,3,,,POINT (-74.0164449 40.7162867)
42429636,40.7142862,-73.9939355,traffic_signals,4,,,POINT (-73.9939355 40.7142862)
42429641,40.7164855,-73.9928237,traffic_signals,4,,,POINT (-73.9928237 40.7164855)
42429643,40.717668,-73.9922172,traffic_signals,4,,,POINT (-73.9922172 40.717668)
42429644,40.7185836,-73.9917491,stop,4,,,POINT (-73.9917491 40.7185836)
42429645,40.7195624,-73.9912489,,4,,,POINT (-73.9912489 40.7195624)
42429646,40.72077,-73.9906316,,4,,,POINT (-73.9906316 40.72077)
42429647,40.7219217,-73.990042,,4,,,POINT (-73.990042 40.7219217)
42429657,40.7385111,-73.9918061,traffic_signals,4,,,POINT (-73.9918061 40.7385111)
42429659,40.73986,-73.995018,traffic_signals,4,,,POINT (-73.995018 40.73986)
42429661,40.741056,-73.997862,traffic_signals,4,,,POINT (-73.997862 40.741056)
42429662,40.7422581,-74.0006951,traffic_signals,4,,,POINT (-74.0006951 40.7422581)
42429663,40.7434761,-74.0035806,traffic_signals,4,,,POINT (-74.0035806 40.7434761)
42429664,40.744646,-74.006385,traffic_signals,4,,,POINT (-74.006385 40.744646)
42429680,40.771147,-73.967994,traffic_signals,3,,,POINT (-73.967994 40.771147)
