u,v,key,osmid,highway,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction,Groups
122130537,122130543,0,574674704,tertiary,North Waco Street,False,False,107.75164871816,107.75164871816,1.5331130196332932,0.0059768401801012,"LINESTRING (-97.341974 37.700262, -97.341971 37.700521, -97.3419772 37.7011448, -97.341978 37.701231)",,,,,,,,B
122130537,5515677804,0,574674704,tertiary,North Waco Street,False,True,148.51494153583943,148.51494153583943,1.5169299732311052,0.0038165837558769,"LINESTRING (-97.341974 37.700262, -97.3419762 37.700134, -97.3419786 37.699998, -97.3419837 37.6997018, -97.3419971 37.6989265)",,,,,,,,B
122130543,122130551,0,574674704,tertiary,North Waco Street,False,False,145.66598476725278,145.66598476725278,1.64182448618219,0.0043953976703629,"LINESTRING (-97.341978 37.701231, -97.341982 37.702541)",,,,,,,,B
122130543,122487732,0,13269624,residential,West 9th Street North,False,True,114.81221135414968,114.81221135414968,1.4568276506046705,0.0014527364918603,"LINESTRING (-97.341978 37.701231, -97.3421379 37.701231, -97.3426491 37.701231, -97.343283 37.701231)",,,,,,,,C
122130543,122130537,0,574674704,tertiary,North Waco Street,False,True,107.75164871816,107.75164871816,1.5331130196332918,0.0026397807639704,"LINESTRING (-97.341978 37.701231, -97.3419772 37.7011448, -97.341971 37.700521, -97.341974 37.700262)",,,,,,,,B
122130551,122130555,0,574674704,tertiary,North Waco Street,False,False,204.48792929215,204.48792929215,1.7328429009703394,0.0039940266462131,"LINESTRING (-97.341982 37.702541, -97.341985 37.70438)",,,,,,,,B
122130551,122130543,0,574674704,tertiary,North Waco Street,False,True,145.66598476725278,145.66598476725278,1.6418244861821922,0.0015845657370344,"LINESTRING (-97.341982 37.702541, -97.341978 37.701231)",,,,,,,,B
122130551,122506428,0,13278172,residential,West 10th Street North,False,False,113.31605528318008,113.31605528318008,1.72954778039037,0.0004541753554123,"LINESTRING (-97.341982 37.702541, -97.3421141 37.7025409, -97.3426438 37.7025384, -97.34327 37.702536)",,,,,,,,C
122130551,122359974,0,13278172,residential,West 10th Street North,False,True,108.21280837254118,108.21280837254118,1.7884088302678314,0.0014846224635581,"LINESTRING (-97.341982 37.702541, -97.3418713 37.7025414, -97.3413804 37.702543, -97.340752 37.702545)",,,,,,,,C
122130555,122130559,0,574674704,tertiary,North Waco Street,False,False,204.9328414287696,204.9328414287696,1.7657110182417846,0.0036531590717768,"LINESTRING (-97.341985 37.70438, -97.341981 37.706223)",,,,,,,,B
