osmid,y,x,highway,street_count,railway,geometry
195576806,-34.6159596,-58.3961162,traffic_signals,4,,POINT (-58.3961162 -34.6159596)
195576810,-34.6182899,-58.4080422,traffic_signals,4,,POINT (-58.4080422 -34.6182899)
195576812,-34.6187055,-58.4093315,traffic_signals,4,,POINT (-58.4093315 -34.6187055)
195576813,-34.6190703,-58.4109971,traffic_signals,4,,POINT (-58.4109971 -34.6190703)
195577553,-34.6185163,-58.3810936,traffic_signals,4,,POINT (-58.3810936 -34.6185163)
195577555,-34.6189723,-58.3902777,traffic_signals,4,,POINT (-58.3902777 -34.6189723)
195577556,-34.6192533,-58.3932177,,3,,POINT (-58.3932177 -34.6192533)
195578436,-34.6092722,-58.3933932,traffic_signals,4,,POINT (-58.3933932 -34.6092722)
195578437,-34.615767,-58.3931784,traffic_signals,4,,POINT (-58.3931784 -34.615767)
195578929,-34.619518,-58.3932102,,3,,POINT (-58.3932102 -34.619518)
195578930,-34.619638,-58.3988501,,4,,POINT (-58.3988501 -34.619638)
195578931,-34.6215622,-58.4107682,traffic_signals,4,,POINT (-58.4107682 -34.6215622)
195579434,-34.6204587,-58.3931804,,3,,POINT (-58.3931804 -34.6204587)
195580205,-34.6203099,-58.3931874,traffic_signals,3,,POINT (-58.3931874 -34.6203099)
195580209,-34.6197476,-58.3810972,traffic_signals,5,,POINT (-58.3810972 -34.6197476)
195581624,-34.6237222,-58.4105056,traffic_signals,4,,POINT (-58.4105056 -34.6237222)
195581626,-34.6218845,-58.398199,traffic_signals,4,,POINT (-58.398199 -34.6218845)
195581628,-34.6216252,-58.3931145,traffic_signals,4,,POINT (-58.3931145 -34.6216252)
195581629,-34.6211495,-58.3858459,,4,,POINT (-58.3858459 -34.6211495)
195582113,-34.6093777,-58.3948805,traffic_signals,4,,POINT (-58.3948805 -34.6093777)
195582115,-34.6158741,-58.3945974,traffic_signals,4,,POINT (-58.3945974 -34.6158741)
195582116,-34.62169,-58.3944517,,3,,POINT (-58.3944517 -34.62169)
195582718,-34.6130478,-58.3974277,traffic_signals,4,,POINT (-58.3974277 -34.6130478)
195582722,-34.6118699,-58.397426,traffic_signals,4,,POINT (-58.397426 -34.6118699)
195582725,-34.6142262,-58.3974962,traffic_signals,4,,POINT (-58.3974962 -34.6142262)
195584229,-34.6210393,-58.4017804,traffic_signals,4,,POINT (-58.4017804 -34.6210393)
195584235,-34.6197789,-58.4021731,,4,,POINT (-58.4021731 -34.6197789)
195584241,-34.6133495,-58.4031496,traffic_signals,4,,POINT (-58.4031496 -34.6133495)
195584247,-34.6236096,-58.4009816,,3,,POINT (-58.4009816 -34.6236096)
195584254,-34.6187305,-58.4022586,traffic_signals,4,,POINT (-58.4022586 -34.6187305)
195584259,-34.6145292,-58.4030064,traffic_signals,4,,POINT (-58.4030064 -34.6145292)
195585082,-34.6101881,-58.3904075,,3,,POINT (-58.3904075 -34.6101881)
195585083,-34.6137158,-58.3903649,traffic_signals,4,,POINT (-58.3903649 -34.6137158)
195585084,-34.6180721,-58.390332,traffic_signals,4,,POINT (-58.390332 -34.6180721)
195585085,-34.6201241,-58.39021,traffic_signals,4,,POINT (-58.39021 -34.6201241)
195585088,-34.6226218,-58.389895,traffic_signals,4,,POINT (-58.389895 -34.6226218)
195585825,-34.6124688,-58.3889517,traffic_signals,4,,POINT (-58.3889517 -34.6124688)
195585827,-34.6167237,-58.3890588,traffic_signals,4,,POINT (-58.3890588 -34.6167237)
195585828,-34.6188614,-58.3889213,traffic_signals,4,,POINT (-58.3889213 -34.6188614)
195585830,-34.6225425,-58.3886694,traffic_signals,4,,POINT (-58.3886694 -34.6225425)
195586318,-34.6212482,-58.3872184,traffic_signals,4,,POINT (-58.3872184 -34.6212482)
195586319,-34.6224544,-58.3871862,traffic_signals,4,,POINT (-58.3871862 -34.6224544)
195587058,-34.6154824,-58.3859052,traffic_signals,4,,POINT (-58.3859052 -34.6154824)
195587062,-34.6178365,-58.3858751,traffic_signals,4,,POINT (-58.3858751 -34.6178365)
195587922,-34.6210352,-58.3843535,traffic_signals,4,,POINT (-58.3843535 -34.6210352)
195587928,-34.6197958,-58.3843532,traffic_signals,4,,POINT (-58.3843532 -34.6197958)
195587932,-34.6186052,-58.3842898,traffic_signals,4,,POINT (-58.3842898 -34.6186052)
195587935,-34.6222988,-58.3843706,traffic_signals,4,,POINT (-58.3843706 -34.6222988)
195587938,-34.6177792,-58.3843099,traffic_signals,4,,POINT (-58.3843099 -34.6177792)
195588296,-34.6222354,-58.3829579,traffic_signals,4,,POINT (-58.3829579 -34.6222354)
195588777,-34.6232172,-58.3978216,traffic_signals,4,,POINT (-58.3978216 -34.6232172)
195589441,-34.6234005,-58.3992832,traffic_signals,4,,POINT (-58.3992832 -34.6234005)
