u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,junction,width,tunnel,access,Groups
83695551,83603980,0,10148207,residential,2,20 mph,Colorado Street,False,True,113.67268326443156,113.67268326443156,1.570713782476218,0.0003817933514707,"LINESTRING (-111.9301285 40.794897, -111.9301746 40.7939425, -111.9301778 40.7938754)",,,,,,,C
83696468,83541862,0,10147060,residential,,20 mph,Cottage Avenue,False,False,63.21804249321619,63.21804249321619,1.249593048938549,0.0002963841138114,"LINESTRING (-111.8803795 40.7554374, -111.8798634 40.7554335, -111.879629 40.7554319)",,,,,,,C
83696849,83696851,0,10147140,residential,2,20 mph,Illinois Avenue,False,False,101.85783193977204,101.857831939772,1.7808596933870022,0.0006420630654078,"LINESTRING (-111.9258766 40.7441233, -111.9259811 40.7441233, -111.9269756 40.7441172, -111.9270856 40.7441151)",,,,,,,C
83696849,83569234,0,10147140,residential,2,20 mph,Illinois Avenue,False,True,99.26267941795392,99.26267941795392,1.8148605053108,0.0005088527729268,"LINESTRING (-111.9258766 40.7441233, -111.9257862 40.7441243, -111.924809 40.7441239, -111.9247863 40.7441241, -111.9247027 40.7441034)",,,,,,,C
83696849,83586988,0,10148837,residential,2,20 mph,1200 West,False,False,201.4883876696574,201.4883876696574,1.7036979742499745,0.0005989190986478,"LINESTRING (-111.9258766 40.7441233, -111.9258773 40.7440569, -111.9258699 40.7423905, -111.9258719 40.7423113)",,,,,,,C
83696849,83704571,0,10148837,residential,2,20 mph,1200 West,False,True,405.7281289353124,405.7281289353123,1.6819624448855433,0.0007043626019309,"LINESTRING (-111.9258766 40.7441233, -111.9258746 40.7441831, -111.9258766 40.7443675, -111.9258597 40.7445805, -111.9258321 40.7447297, -111.9257364 40.7452042, -111.9257202 40.7453279, -111.9257107 40.7456214, -111.9257242 40.747764)",,,,,,,C
83696851,83621912,0,10147140,residential,2,20 mph,Illinois Avenue,False,False,96.68338288996613,96.68338288996613,1.4563736711505288,0.0006596369826216,"LINESTRING (-111.9270856 40.7441151, -111.9271759 40.7441116, -111.9281347 40.7441064, -111.9282331 40.744107)",,,,,,,C
83696851,83696849,0,10147140,residential,2,20 mph,Illinois Avenue,False,True,101.857831939772,101.85783193977204,1.780859693387002,0.0004250251878168,"LINESTRING (-111.9270856 40.7441151, -111.9269756 40.7441172, -111.9259811 40.7441233, -111.9258766 40.7441233)",,,,,,,C
83696851,83704055,0,10148569,residential,,20 mph,Concord Street,False,True,409.6729975106748,409.67299751067486,1.6295672940663373,0.0022992834586734,"LINESTRING (-111.9270856 40.7441151, -111.9270836 40.7441813, -111.9270627 40.744406, -111.9270238 40.7445563, -111.926979 40.7447378, -111.9268388 40.7450054, -111.9267554 40.7451853, -111.9267342 40.7453489, -111.9267469 40.7477609)",,,,,,,C
83696851,83586997,0,1107162068,residential,,20 mph,Concord Street,False,False,201.870599636466,201.870599636466,1.4881731473482356,0.0033118046989491,"LINESTRING (-111.9270856 40.7441151, -111.9270864 40.7440489, -111.927068 40.7423876, -111.9270672 40.7422997)",,,,,,,C
