osmid,y,x,street_count,highway,railway,geometry
2296540744,-22.8985493,-43.1911413,3,,,POINT (-43.1911413 -22.8985493)
2296540762,-22.8996283,-43.191659,3,,,POINT (-43.191659 -22.8996283)
2296540770,-22.9008137,-43.1956833,1,,,POINT (-43.1956833 -22.9008137)
2296544755,-22.8992725,-43.1928684,1,,,POINT (-43.1928684 -22.8992725)
2296544769,-22.8994123,-43.1936759,3,,,POINT (-43.1936759 -22.8994123)
2296547109,-22.8996048,-43.1928739,1,,,POINT (-43.1928739 -22.8996048)
2324914833,-22.9092377,-43.2382095,3,crossing,,POINT (-43.2382095 -22.9092377)
2324914866,-22.9106213,-43.2379145,3,,,POINT (-43.2379145 -22.9106213)
2330764217,-22.9457407,-43.20497,1,,,POINT (-43.20497 -22.9457407)
2344500274,-22.9089852,-43.2003886,3,,,POINT (-43.2003886 -22.9089852)
2344500276,-22.9091867,-43.2000678,3,,,POINT (-43.2000678 -22.9091867)
2349261894,-22.9086278,-43.2381742,3,,,POINT (-43.2381742 -22.9086278)
2360384175,-22.9108442,-43.2266719,3,,,POINT (-43.2266719 -22.9108442)
2360427623,-22.9425553,-43.1769406,3,,,POINT (-43.1769406 -22.9425553)
2360505434,-22.9102629,-43.220019,3,,,POINT (-43.220019 -22.9102629)
2363743725,-22.9002231,-43.1833238,3,,,POINT (-43.1833238 -22.9002231)
2363743728,-22.9005452,-43.1840704,3,,,POINT (-43.1840704 -22.9005452)
2363801809,-22.9068778,-43.192482,3,,,POINT (-43.192482 -22.9068778)
2363801815,-22.905944,-43.1927804,3,,,POINT (-43.1927804 -22.905944)
2368031637,-22.9213135,-43.2237757,3,,,POINT (-43.2237757 -22.9213135)
2370274939,-22.9460128,-43.1821232,3,,,POINT (-43.1821232 -22.9460128)
2370276194,-22.9395135,-43.1701,3,,,POINT (-43.1701 -22.9395135)
2374415697,-22.8774641,-43.2152455,3,,,POINT (-43.2152455 -22.8774641)
2374415706,-22.8765632,-43.211609,3,,,POINT (-43.211609 -22.8765632)
2374415711,-22.8774045,-43.2164592,3,,,POINT (-43.2164592 -22.8774045)
2374415715,-22.8791444,-43.216215,3,,,POINT (-43.216215 -22.8791444)
2374415720,-22.8781018,-43.212001,3,,,POINT (-43.212001 -22.8781018)
2374415731,-22.8772996,-43.2162371,4,,,POINT (-43.2162371 -22.8772996)
2374415735,-22.8745068,-43.2099762,1,,,POINT (-43.2099762 -22.8745068)
2374415736,-22.878394,-43.2158553,3,,,POINT (-43.2158553 -22.878394)
2374415737,-22.8793954,-43.216962,3,,,POINT (-43.216962 -22.8793954)
2374415741,-22.8751367,-43.2166053,1,,,POINT (-43.2166053 -22.8751367)
2374415749,-22.8793415,-43.2168755,3,,,POINT (-43.2168755 -22.8793415)
2374415761,-22.8762246,-43.2133833,3,,,POINT (-43.2133833 -22.8762246)
2374415767,-22.8762542,-43.2151212,1,,,POINT (-43.2151212 -22.8762542)
2374415769,-22.8791404,-43.2171264,3,,,POINT (-43.2171264 -22.8791404)
2374415770,-22.8789399,-43.216421,3,,,POINT (-43.216421 -22.8789399)
2374420021,-22.8776158,-43.2267231,3,,,POINT (-43.2267231 -22.8776158)
2374420022,-22.8778501,-43.2254163,3,,,POINT (-43.2254163 -22.8778501)
2374420023,-22.8776211,-43.2253371,3,,,POINT (-43.2253371 -22.8776211)
2374420027,-22.8773521,-43.2267396,3,,,POINT (-43.2267396 -22.8773521)
2374420037,-22.8773455,-43.2268537,3,,,POINT (-43.2268537 -22.8773455)
2374420038,-22.8776035,-43.2175058,1,,,POINT (-43.2175058 -22.8776035)
2374420039,-22.8766015,-43.223695,3,,,POINT (-43.223695 -22.8766015)
2374420049,-22.8781472,-43.2264911,3,,,POINT (-43.2264911 -22.8781472)
2374426920,-22.8794066,-43.2308348,3,,,POINT (-43.2308348 -22.8794066)
2374426922,-22.8805708,-43.2304521,3,,,POINT (-43.2304521 -22.8805708)
2374426923,-22.8783918,-43.2306512,1,,,POINT (-43.2306512 -22.8783918)
2374426924,-22.8784981,-43.231008,1,,,POINT (-43.231008 -22.8784981)
2374426925,-22.8788674,-43.2302708,3,,,POINT (-43.2302708 -22.8788674)
2374426926,-22.879321,-43.23148,3,,,POINT (-43.23148 -22.879321)
2374426931,-22.8796392,-43.2300419,3,,,POINT (-43.2300419 -22.8796392)
2374426933,-22.8790459,-43.2307656,3,,,POINT (-43.2307656 -22.8790459)
2374426934,-22.8793883,-43.2297748,3,,,POINT (-43.2297748 -22.8793883)
2374426935,-22.8793383,-43.2303749,1,,,POINT (-43.2303749 -22.8793383)
2374426936,-22.878807,-43.2298626,1,,,POINT (-43.2298626 -22.878807)
2374426938,-22.8789036,-43.2304176,4,,,POINT (-43.2304176 -22.8789036)
2374426941,-22.8786884,-43.2317509,1,,,POINT (-43.2317509 -22.8786884)
2374426943,-22.8791272,-43.2294792,3,,,POINT (-43.2294792 -22.8791272)
2374426944,-22.8782098,-43.230012,3,,,POINT (-43.230012 -22.8782098)
2374426945,-22.8801587,-43.2305949,3,,,POINT (-43.2305949 -22.8801587)
2374426946,-22.8790912,-43.2301282,1,,,POINT (-43.2301282 -22.8790912)
2374426948,-22.8798937,-43.2303128,3,,,POINT (-43.2303128 -22.8798937)
2374426950,-22.8783548,-43.2303589,1,,,POINT (-43.2303589 -22.8783548)
2374426954,-22.8786325,-43.2313491,1,,,POINT (-43.2313491 -22.8786325)
2374426955,-22.8783794,-43.2297527,3,,,POINT (-43.2297527 -22.8783794)
2374426956,-22.8791813,-43.2310966,4,,,POINT (-43.2310966 -22.8791813)
2374430204,-22.8804232,-43.2281649,4,,,POINT (-43.2281649 -22.8804232)
2374430205,-22.8790742,-43.2283883,3,,,POINT (-43.2283883 -22.8790742)
2374430206,-22.8797461,-43.2287376,3,,,POINT (-43.2287376 -22.8797461)
2374430210,-22.8813649,-43.2301126,3,,,POINT (-43.2301126 -22.8813649)
2374430211,-22.8797041,-43.2286745,3,,,POINT (-43.2286745 -22.8797041)
2374430213,-22.8811454,-43.2301665,3,,,POINT (-43.2301665 -22.8811454)
2374430214,-22.8813598,-43.2291748,3,,,POINT (-43.2291748 -22.8813598)
2374430220,-22.8800587,-43.2279544,3,,,POINT (-43.2279544 -22.8800587)
2374430225,-22.8811633,-43.2291352,3,,,POINT (-43.2291352 -22.8811633)
2374430229,-22.8807247,-43.229907,3,,,POINT (-43.229907 -22.8807247)
2374430230,-22.881766,-43.2276575,3,,,POINT (-43.2276575 -22.881766)
2374430991,-22.881777,-43.2285476,3,,,POINT (-43.2285476 -22.881777)
2374430992,-22.8826892,-43.2286818,3,,,POINT (-43.2286818 -22.8826892)
2374430996,-22.8796448,-43.2278189,3,,,POINT (-43.2278189 -22.8796448)
2374430997,-22.8807913,-43.2278322,3,,,POINT (-43.2278322 -22.8807913)
2374430998,-22.881341,-43.2271784,3,,,POINT (-43.2271784 -22.881341)
2374431001,-22.88282,-43.2288525,3,,,POINT (-43.2288525 -22.88282)
2374431002,-22.8815555,-43.2274102,3,,,POINT (-43.2274102 -22.8815555)
2374431005,-22.8798719,-43.2278778,3,,,POINT (-43.2278778 -22.8798719)
2374431006,-22.881225,-43.2274688,3,,,POINT (-43.2274688 -22.881225)
2374431007,-22.8820146,-43.2279221,3,,,POINT (-43.2279221 -22.8820146)
2374431009,-22.8793631,-43.2284465,3,,,POINT (-43.2284465 -22.8793631)
2374431010,-22.8816483,-43.2275319,4,,,POINT (-43.2275319 -22.8816483)
2374431011,-22.8795661,-43.2285536,3,,,POINT (-43.2285536 -22.8795661)
2374431012,-22.880877,-43.2273852,3,,,POINT (-43.2273852 -22.880877)
2374431013,-22.8812421,-43.2279079,3,,,POINT (-43.2279079 -22.8812421)
2374431014,-22.8811251,-43.2278859,3,,,POINT (-43.2278859 -22.8811251)
2374431015,-22.8816029,-43.2293858,3,,,POINT (-43.2293858 -22.8816029)
2374431016,-22.8822291,-43.228171,3,,,POINT (-43.228171 -22.8822291)
2374431017,-22.8809792,-43.2268009,3,,,POINT (-43.2268009 -22.8809792)
2374431019,-22.8829706,-43.2290749,3,,,POINT (-43.2290749 -22.8829706)
2374431022,-22.8820245,-43.2286665,3,,,POINT (-43.2286665 -22.8820245)
2374431023,-22.8814469,-43.2294532,3,,,POINT (-43.2294532 -22.8814469)
2374431025,-22.8819541,-43.2286256,3,,,POINT (-43.2286256 -22.8819541)
2374431026,-22.8814142,-43.2297396,3,,,POINT (-43.2297396 -22.8814142)
2384730186,-22.8956843,-43.1919846,3,,,POINT (-43.1919846 -22.8956843)
2404316258,-22.9427841,-43.1928281,3,,,POINT (-43.1928281 -22.9427841)
2404320302,-22.9430141,-43.191976,3,,,POINT (-43.191976 -22.9430141)
2404320730,-22.9430049,-43.1904366,4,,,POINT (-43.1904366 -22.9430049)
2404320764,-22.942025,-43.1897678,3,,,POINT (-43.1897678 -22.942025)
2404322393,-22.9430362,-43.1915058,3,,,POINT (-43.1915058 -22.9430362)
2404327101,-22.9383969,-43.1909142,3,,,POINT (-43.1909142 -22.9383969)
2404327105,-22.9379117,-43.190485,3,,,POINT (-43.190485 -22.9379117)
2404327110,-22.9387074,-43.1908581,3,,,POINT (-43.1908581 -22.9387074)
2404327125,-22.9403624,-43.1916555,4,,,POINT (-43.1916555 -22.9403624)
2404327140,-22.9379813,-43.190387,3,,,POINT (-43.190387 -22.9379813)
2406964064,-22.9379118,-43.1893157,3,,,POINT (-43.1893157 -22.9379118)
2406964092,-22.9373457,-43.1888853,1,turning_circle,,POINT (-43.1888853 -22.9373457)
2406964094,-22.9381181,-43.1886278,3,,,POINT (-43.1886278 -22.9381181)
2406982946,-22.9382921,-43.1881565,1,,,POINT (-43.1881565 -22.9382921)
