osmid,y,x,highway,street_count,ref,junction,geometry
252986523,40.3813645,-3.7112571,,3,,,POINT (-3.7112571 40.3813645)
252986524,40.3813666,-3.7122611,,3,,,POINT (-3.7122611 40.3813666)
252986525,40.3813608,-3.7138785,,4,,,POINT (-3.7138785 40.3813608)
252986526,40.3813579,-3.7149323,,3,,,POINT (-3.7149323 40.3813579)
252986527,40.3813592,-3.7160867,,4,,,POINT (-3.7160867 40.3813592)
252986528,40.3818002,-3.7156935,,3,,,POINT (-3.7156935 40.3818002)
252986529,40.3826309,-3.7151413,,3,,,POINT (-3.7151413 40.3826309)
252986530,40.3826625,-3.7138882,,3,,,POINT (-3.7138882 40.3826625)
252986531,40.3826876,-3.7119576,,3,,,POINT (-3.7119576 40.3826876)
253115782,40.4509627,-3.6594473,crossing,3,,,POINT (-3.6594473 40.4509627)
253115783,40.4509022,-3.6591386,traffic_signals,4,,,POINT (-3.6591386 40.4509022)
253116155,40.4516158,-3.6558607,,4,,,POINT (-3.6558607 40.4516158)
253116156,40.4508196,-3.6552612,,3,,,POINT (-3.6552612 40.4508196)
253116557,40.4504327,-3.6580747,,3,,,POINT (-3.6580747 40.4504327)
253116558,40.4509159,-3.6571693,,3,,,POINT (-3.6571693 40.4509159)
253116600,40.4510567,-3.6568994,,3,,,POINT (-3.6568994 40.4510567)
254354333,40.4505926,-3.6607668,,3,,,POINT (-3.6607668 40.4505926)
254354356,40.4505141,-3.6587136,,3,,,POINT (-3.6587136 40.4505141)
254354374,40.4475548,-3.6580751,,3,,,POINT (-3.6580751 40.4475548)
254354378,40.4492306,-3.6587846,,3,,,POINT (-3.6587846 40.4492306)
254354379,40.4487446,-3.6584926,,3,,,POINT (-3.6584926 40.4487446)
254354465,40.4484405,-3.661301,,3,,,POINT (-3.661301 40.4484405)
254355992,40.4490717,-3.6575325,,3,,,POINT (-3.6575325 40.4490717)
254355994,40.4482828,-3.6582072,,3,,,POINT (-3.6582072 40.4482828)
254355995,40.4495128,-3.6578154,,3,,,POINT (-3.6578154 40.4495128)
254355996,40.450002,-3.6581365,,3,,,POINT (-3.6581365 40.450002)
254356056,40.4461087,-3.6587579,,1,,,POINT (-3.6587579 40.4461087)
254504442,40.4222441,-3.6711182,,3,,,POINT (-3.6711182 40.4222441)
254973111,40.4008488,-3.7065428,,2,,,POINT (-3.7065428 40.4008488)
254973118,40.3988868,-3.7095367,,3,,,POINT (-3.7095367 40.3988868)
254973230,40.3992136,-3.7101633,,3,,,POINT (-3.7101633 40.3992136)
254973233,40.4007755,-3.707738,,3,,,POINT (-3.707738 40.4007755)
254974081,40.3997178,-3.7111508,traffic_signals,4,,,POINT (-3.7111508 40.3997178)
254980668,40.4018793,-3.7108608,,3,,,POINT (-3.7108608 40.4018793)
255017694,40.3984346,-3.7051594,,4,,,POINT (-3.7051594 40.3984346)
255017749,40.3976085,-3.7044495,,3,,,POINT (-3.7044495 40.3976085)
255063130,40.3981787,-3.7062581,,3,,,POINT (-3.7062581 40.3981787)
255095624,40.398464,-3.7027553,,3,,,POINT (-3.7027553 40.398464)
255095625,40.3977776,-3.70454,,3,,,POINT (-3.70454 40.3977776)
255095897,40.3991264,-3.7031853,traffic_signals,4,,,POINT (-3.7031853 40.3991264)
255160668,40.3985325,-3.7067894,,3,,,POINT (-3.7067894 40.3985325)
255160669,40.3979278,-3.7063523,,3,,,POINT (-3.7063523 40.3979278)
255242906,40.3938056,-3.7073922,,3,,,POINT (-3.7073922 40.3938056)
255243041,40.3971948,-3.715549,crossing,3,,,POINT (-3.715549 40.3971948)
255243047,40.3879746,-3.7166353,,3,,,POINT (-3.7166353 40.3879746)
255268101,40.3946922,-3.7118573,,4,,,POINT (-3.7118573 40.3946922)
255268103,40.3935068,-3.7093784,,3,,,POINT (-3.7093784 40.3935068)
255272920,40.3975736,-3.7070004,,3,,,POINT (-3.7070004 40.3975736)
255272921,40.3980278,-3.7068975,,3,,,POINT (-3.7068975 40.3980278)
255273064,40.398799,-3.7040891,,3,,,POINT (-3.7040891 40.398799)
255273065,40.3981291,-3.703653,,3,,,POINT (-3.703653 40.3981291)
255277423,40.405814,-3.7158514,,3,,,POINT (-3.7158514 40.405814)
255277535,40.4058383,-3.7157891,,3,,,POINT (-3.7157891 40.4058383)
255277538,40.4072463,-3.7162897,,3,,,POINT (-3.7162897 40.4072463)
255277593,40.4072351,-3.7163592,,3,,,POINT (-3.7163592 40.4072351)
