osmid,y,x,street_count,highway,ref,junction,geometry
69126730,33.7430289,-84.3619858,3,motorway_junction,,,POINT (-84.3619858 33.7430289)
69126741,33.7432403,-84.3673827,3,motorway_junction,59B,,POINT (-84.3673827 33.7432403)
69126748,33.7427556,-84.3667724,1,,,,POINT (-84.3667724 33.7427556)
69126750,33.742526,-84.366769,3,,,,POINT (-84.366769 33.742526)
69128194,33.7692046,-84.390567,3,motorway_junction,249C,,POINT (-84.390567 33.7692046)
69128862,33.7665324,-84.3877798,3,,,,POINT (-84.3877798 33.7665324)
69128871,33.7663792,-84.3898699,3,,,,POINT (-84.3898699 33.7663792)
69128927,33.7679361,-84.388923,3,,,,POINT (-84.388923 33.7679361)
69128990,33.7887431,-84.4027165,3,,,,POINT (-84.4027165 33.7887431)
69129631,33.7445738,-84.3944783,4,traffic_signals,,,POINT (-84.3944783 33.7445738)
69129651,33.7444896,-84.3980245,5,traffic_signals,,,POINT (-84.3980245 33.7444896)
69129654,33.7443446,-84.398574,3,,,,POINT (-84.398574 33.7443446)
69130011,33.745344,-84.396675,3,,,,POINT (-84.396675 33.745344)
69130023,33.745911,-84.3934238,3,,,,POINT (-84.3934238 33.745911)
69130052,33.7468824,-84.3882468,3,motorway_junction,,,POINT (-84.3882468 33.7468824)
69130077,33.748839,-84.3841046,3,motorway_junction,247,,POINT (-84.3841046 33.748839)
69130523,33.7508201,-84.3813698,3,motorway_junction,248A,,POINT (-84.3813698 33.7508201)
69130538,33.748644,-84.3855308,4,,,,POINT (-84.3855308 33.748644)
69131077,33.732332,-84.393632,4,,,,POINT (-84.393632 33.732332)
69132053,33.7434638,-84.3820469,3,motorway_junction,57,,POINT (-84.3820469 33.7434638)
69132068,33.7439962,-84.3866949,3,motorway_junction,,,POINT (-84.3866949 33.7439962)
69132092,33.7463319,-84.3877514,3,,,,POINT (-84.3877514 33.7463319)
69132106,33.7487653,-84.3835842,3,,,,POINT (-84.3835842 33.7487653)
69133240,33.7568865,-84.40359,3,,,,POINT (-84.40359 33.7568865)
69133255,33.7413755,-84.4118326,3,motorway_junction,55B,,POINT (-84.4118326 33.7413755)
69133258,33.741811,-84.413626,3,,,,POINT (-84.413626 33.741811)
69133263,33.760727,-84.3494929,4,,,,POINT (-84.3494929 33.760727)
69133286,33.761918,-84.349731,4,,,,POINT (-84.349731 33.761918)
69133293,33.7600691,-84.3493108,3,,,,POINT (-84.3493108 33.7600691)
69133309,33.761915,-84.349601,3,,,,POINT (-84.349601 33.761915)
69133333,33.754855,-84.424209,3,,,,POINT (-84.424209 33.754855)
69133337,33.754893,-84.423714,1,,,,POINT (-84.423714 33.754893)
69133403,33.7728489,-84.4251175,4,traffic_signals,,,POINT (-84.4251175 33.7728489)
69133408,33.7562638,-84.4163475,2,,,,POINT (-84.4163475 33.7562638)
69133560,33.732778,-84.354422,3,,,,POINT (-84.354422 33.732778)
69133567,33.732616,-84.353923,3,,,,POINT (-84.353923 33.732616)
69133574,33.735688,-84.368223,3,traffic_signals,,,POINT (-84.368223 33.735688)
69135955,33.78119,-84.426049,3,,,,POINT (-84.426049 33.78119)
69135957,33.780599,-84.426079,3,,,,POINT (-84.426079 33.780599)
69136979,33.7327502,-84.3919543,3,motorway_junction,246,,POINT (-84.3919543 33.7327502)
69137061,33.7452549,-84.391776,3,,,,POINT (-84.391776 33.7452549)
69138212,33.742928,-84.358215,3,crossing,,,POINT (-84.358215 33.742928)
69139235,33.7437025,-84.3578042,3,motorway_junction,59A,,POINT (-84.3578042 33.7437025)
69140030,33.764849,-84.372865,3,,,,POINT (-84.372865 33.764849)
69140036,33.766362,-84.372632,4,,,,POINT (-84.372632 33.766362)
69140040,33.767905,-84.372577,3,,,,POINT (-84.372577 33.767905)
69140232,33.752825,-84.42414,3,,,,POINT (-84.42414 33.752825)
69140240,33.75298,-84.424496,3,,,,POINT (-84.424496 33.75298)
69140257,33.751537,-84.423893,3,,,,POINT (-84.423893 33.751537)
69140268,33.751747,-84.424138,3,,,,POINT (-84.424138 33.751747)
69140272,33.751504,-84.429814,3,,,,POINT (-84.429814 33.751504)
69140275,33.751152,-84.429833,1,,,,POINT (-84.429833 33.751152)
69141233,33.767349,-84.3861578,3,,,,POINT (-84.3861578 33.767349)
69142110,33.7687224,-84.3547132,3,,,,POINT (-84.3547132 33.7687224)
69142562,33.7654361,-84.3858025,3,motorway_junction,249A,,POINT (-84.3858025 33.7654361)
69143327,33.751643,-84.3799203,3,motorway_junction,248B,,POINT (-84.3799203 33.751643)
69144163,33.7891575,-84.3904135,3,,,,POINT (-84.3904135 33.7891575)
69144393,33.7776025,-84.3907578,3,motorway_junction,250,,POINT (-84.3907578 33.7776025)
69144397,33.780188,-84.3905865,3,,,,POINT (-84.3905865 33.780188)
69144406,33.7815476,-84.391609,4,traffic_signals,,,POINT (-84.391609 33.7815476)
69144866,33.7419771,-84.4177048,4,,,,POINT (-84.4177048 33.7419771)
69144874,33.742234,-84.417961,3,,,,POINT (-84.417961 33.742234)
69145207,33.7283771,-84.386065,3,,,,POINT (-84.386065 33.7283771)
69145209,33.7283497,-84.385153,3,,,,POINT (-84.385153 33.7283497)
69145266,33.7450365,-84.3877455,3,,,,POINT (-84.3877455 33.7450365)
69145307,33.743494,-84.3776418,3,motorway_junction,58A,,POINT (-84.3776418 33.743494)
69146697,33.7602348,-84.3720574,4,,,,POINT (-84.3720574 33.7602348)
69146707,33.761356,-84.372027,4,traffic_signals,,,POINT (-84.372027 33.761356)
69146722,33.763233,-84.371972,3,,,,POINT (-84.371972 33.763233)
