osmid,y,x,street_count,highway,junction,ref,geometry
107053,51.536218,-0.0966141,3,,,,POINT (-0.0966141 51.536218)
107056,51.5368179,-0.0956482,3,,,,POINT (-0.0956482 51.5368179)
107059,51.5370075,-0.0932125,4,,,,POINT (-0.0932125 51.5370075)
107060,51.5363798,-0.0925224,4,,,,POINT (-0.0925224 51.5363798)
107070,51.5369563,-0.0988515,3,,,,POINT (-0.0988515 51.5369563)
107073,51.5389754,-0.0985221,3,,,,POINT (-0.0985221 51.5389754)
107081,51.5403528,-0.1092944,3,,,,POINT (-0.1092944 51.5403528)
107087,51.5395127,-0.1024369,3,,,,POINT (-0.1024369 51.5395127)
107089,51.5377432,-0.102716,3,,,,POINT (-0.102716 51.5377432)
107090,51.5371513,-0.1007659,3,,,,POINT (-0.1007659 51.5371513)
107093,51.5371576,-0.1082094,3,,,,POINT (-0.1082094 51.5371576)
107094,51.5374134,-0.1098294,3,,,,POINT (-0.1098294 51.5374134)
107099,51.5376073,-0.1081608,3,,,,POINT (-0.1081608 51.5376073)
107100,51.5386658,-0.1103506,3,,,,POINT (-0.1103506 51.5386658)
107101,51.5387017,-0.1126997,3,,,,POINT (-0.1126997 51.5387017)
107103,51.5386973,-0.1136866,4,mini_roundabout,,,POINT (-0.1136866 51.5386973)
107106,51.5363583,-0.1019412,3,,,,POINT (-0.1019412 51.5363583)
107107,51.5353501,-0.0999517,3,,,,POINT (-0.0999517 51.5353501)
107108,51.5347444,-0.0986673,4,mini_roundabout,,,POINT (-0.0986673 51.5347444)
107316,51.5188864,-0.1369442,3,,,,POINT (-0.1369442 51.5188864)
107317,51.5195828,-0.1377166,3,,,,POINT (-0.1377166 51.5195828)
107318,51.5200969,-0.136436,4,,,,POINT (-0.136436 51.5200969)
107319,51.5193831,-0.1356907,4,,,,POINT (-0.1356907 51.5193831)
107320,51.5201208,-0.1338074,3,,,,POINT (-0.1338074 51.5201208)
107322,51.5162463,-0.1328665,4,,,,POINT (-0.1328665 51.5162463)
107324,51.5156506,-0.1324426,3,,,,POINT (-0.1324426 51.5156506)
107326,51.5151476,-0.1327267,3,,,,POINT (-0.1327267 51.5151476)
107328,51.5148365,-0.1323225,3,,,,POINT (-0.1323225 51.5148365)
107333,51.5153055,-0.141966,4,crossing,crossroads,,POINT (-0.141966 51.5153055)
107341,51.5191467,-0.1393744,3,,,,POINT (-0.1393744 51.5191467)
107343,51.5182768,-0.1419003,4,,,,POINT (-0.1419003 51.5182768)
107345,51.5179523,-0.1417567,3,,,,POINT (-0.1417567 51.5179523)
107348,51.5194748,-0.1398101,3,,,,POINT (-0.1398101 51.5194748)
107349,51.5191389,-0.1408626,4,,,,POINT (-0.1408626 51.5191389)
107351,51.5202242,-0.1384011,3,,,,POINT (-0.1384011 51.5202242)
107352,51.5208299,-0.1391027,4,,,,POINT (-0.1391027 51.5208299)
107356,51.534656,-0.0615757,3,,,,POINT (-0.0615757 51.534656)
107358,51.5349669,-0.0630174,4,,,,POINT (-0.0630174 51.5349669)
107359,51.5356517,-0.0623096,3,,,,POINT (-0.0623096 51.5356517)
107419,51.5459425,-0.0658632,4,,,,POINT (-0.0658632 51.5459425)
107422,51.5465322,-0.0580159,3,,,,POINT (-0.0580159 51.5465322)
107423,51.5456743,-0.0586162,3,,,,POINT (-0.0586162 51.5456743)
107426,51.5440637,-0.0595154,4,,,,POINT (-0.0595154 51.5440637)
107455,51.5132169,-0.061527,3,,,,POINT (-0.061527 51.5132169)
107456,51.5128787,-0.0614419,3,,,,POINT (-0.0614419 51.5128787)
107460,51.5095941,-0.0588637,3,,,,POINT (-0.0588637 51.5095941)
107464,51.5052772,-0.0597703,4,,,,POINT (-0.0597703 51.5052772)
107470,51.5041411,-0.0614162,3,,,,POINT (-0.0614162 51.5041411)
107561,51.4981638,-0.0723292,3,,,,POINT (-0.0723292 51.4981638)
107565,51.5007709,-0.0783455,3,,,,POINT (-0.0783455 51.5007709)
107576,51.5101455,-0.0729022,3,,,,POINT (-0.0729022 51.5101455)
107584,51.5132968,-0.0793102,3,,,,POINT (-0.0793102 51.5132968)
107585,51.5134391,-0.0803298,3,,,,POINT (-0.0803298 51.5134391)
107586,51.514391,-0.0836599,3,,,,POINT (-0.0836599 51.514391)
107587,51.5134164,-0.0841383,4,,,,POINT (-0.0841383 51.5134164)
107609,51.5148228,-0.0655422,3,,,,POINT (-0.0655422 51.5148228)
107614,51.5112097,-0.0732297,3,,,,POINT (-0.0732297 51.5112097)
107626,51.5107017,-0.0843638,3,,,,POINT (-0.0843638 51.5107017)
107627,51.5107226,-0.0853116,4,,,,POINT (-0.0853116 51.5107226)
107632,51.510276,-0.0867921,3,,,,POINT (-0.0867921 51.510276)
107634,51.5112421,-0.0883778,3,,,,POINT (-0.0883778 51.5112421)
107637,51.5116996,-0.090727,3,,,,POINT (-0.090727 51.5116996)
107638,51.5119738,-0.0919543,3,,,,POINT (-0.0919543 51.5119738)
107641,51.5126834,-0.0951234,3,,,,POINT (-0.0951234 51.5126834)
107644,51.511846,-0.0971951,3,,,,POINT (-0.0971951 51.511846)
107667,51.5121749,-0.101735,3,,,,POINT (-0.101735 51.5121749)
107668,51.5120298,-0.103268,3,,,,POINT (-0.103268 51.5120298)
107684,51.5137936,-0.1010095,3,,,,POINT (-0.1010095 51.5137936)
107685,51.5139944,-0.1025298,3,,,,POINT (-0.1025298 51.5139944)
107686,51.5141465,-0.1035445,3,,,,POINT (-0.1035445 51.5141465)
107693,51.5141251,-0.1094354,4,,,,POINT (-0.1094354 51.5141251)
107697,51.5127745,-0.1145202,4,,,,POINT (-0.1145202 51.5127745)
107698,51.511288,-0.1136847,3,,,,POINT (-0.1136847 51.511288)
107708,51.5129142,-0.1137605,3,,,,POINT (-0.1137605 51.5129142)
107715,51.5105787,-0.1210689,4,,,,POINT (-0.1210689 51.5105787)
107716,51.5110773,-0.1197175,3,,,,POINT (-0.1197175 51.5110773)
107733,51.5047105,-0.1141145,3,,,,POINT (-0.1141145 51.5047105)
107734,51.5050454,-0.1140915,3,,,,POINT (-0.1140915 51.5050454)
107735,51.5051346,-0.1136024,3,,,,POINT (-0.1136024 51.5051346)
107736,51.5050825,-0.1133577,3,,,,POINT (-0.1133577 51.5050825)
107737,51.5046433,-0.1131332,3,,,,POINT (-0.1131332 51.5046433)
107738,51.5044855,-0.1135985,3,,,,POINT (-0.1135985 51.5044855)
107750,51.4989348,-0.1169738,3,,,,POINT (-0.1169738 51.4989348)
107751,51.5009376,-0.1242336,3,,,,POINT (-0.1242336 51.5009376)
107762,51.5021046,-0.1260009,3,,,,POINT (-0.1260009 51.5021046)
107763,51.5056213,-0.1267073,4,,,,POINT (-0.1267073 51.5056213)
107769,51.5069448,-0.1249151,3,,,,POINT (-0.1249151 51.5069448)
107774,51.5075453,-0.1278265,3,,,,POINT (-0.1278265 51.5075453)
107777,51.5058624,-0.130808,3,,,,POINT (-0.130808 51.5058624)
107786,51.5102568,-0.1283137,3,,,,POINT (-0.1283137 51.5102568)
107790,51.511322,-0.1283895,3,,,,POINT (-0.1283895 51.511322)
107791,51.5118562,-0.1283797,3,,,,POINT (-0.1283797 51.5118562)
107792,51.5132543,-0.1291225,4,crossing,crossroads,,POINT (-0.1291225 51.5132543)
107796,51.5072375,-0.132375,5,,,,POINT (-0.132375 51.5072375)
107797,51.5092317,-0.1324042,3,,,,POINT (-0.1324042 51.5092317)
107798,51.5100968,-0.1333442,4,,,,POINT (-0.1333442 51.5100968)
107799,51.5102926,-0.1322679,3,,,,POINT (-0.1322679 51.5102926)
107800,51.5103171,-0.1321604,3,,,,POINT (-0.1321604 51.5103171)
107801,51.5095659,-0.131587,4,,,,POINT (-0.131587 51.5095659)
107802,51.5084826,-0.1317462,3,,,,POINT (-0.1317462 51.5084826)
107805,51.5127597,-0.1299684,3,,,,POINT (-0.1299684 51.5127597)
107806,51.5124831,-0.1307059,3,,,,POINT (-0.1307059 51.5124831)
107807,51.5122045,-0.1314882,4,,,,POINT (-0.1314882 51.5122045)
107809,51.5114964,-0.1330499,4,,,,POINT (-0.1330499 51.5114964)
107812,51.5113932,-0.1343278,4,,,,POINT (-0.1343278 51.5113932)
107813,51.5106947,-0.1339402,4,,,,POINT (-0.1339402 51.5106947)
107816,51.5079489,-0.1332261,3,,,,POINT (-0.1332261 51.5079489)
