osmid,y,x,highway,street_count,ref,junction,geometry
4505383456,-23.5348584,-46.6537083,,3,,,POINT (-46.6537083 -23.5348584)
4505383463,-23.5332171,-46.6567792,,4,,,POINT (-46.6567792 -23.5332171)
4509498149,-23.5461025,-46.6320626,,3,,,POINT (-46.6320626 -23.5461025)
4509498152,-23.5461431,-46.6317594,,3,,,POINT (-46.6317594 -23.5461431)
4511007491,-23.54865,-46.6384413,,3,,,POINT (-46.6384413 -23.54865)
4511071307,-23.5538557,-46.6395977,traffic_signals,4,,,POINT (-46.6395977 -23.5538557)
4511071312,-23.5516323,-46.6405739,,3,,,POINT (-46.6405739 -23.5516323)
4511105625,-23.5515073,-46.627686,,3,,,POINT (-46.627686 -23.5515073)
4511170885,-23.547219,-46.6456737,,3,,,POINT (-46.6456737 -23.547219)
4511170989,-23.548017,-46.64269,traffic_signals,5,,,POINT (-46.64269 -23.548017)
4511170990,-23.5480255,-46.642558,traffic_signals,4,,,POINT (-46.642558 -23.5480255)
4511170993,-23.5471767,-46.6459097,traffic_signals,3,,,POINT (-46.6459097 -23.5471767)
4511170996,-23.5471671,-46.6460505,traffic_signals,3,,,POINT (-46.6460505 -23.5471671)
4511232860,-23.5512975,-46.6566458,traffic_signals,3,,,POINT (-46.6566458 -23.5512975)
4511232861,-23.5514262,-46.6565493,traffic_signals,3,,,POINT (-46.6565493 -23.5514262)
4511301908,-23.5450676,-46.6433987,traffic_signals,3,,,POINT (-46.6433987 -23.5450676)
4511317149,-23.5393347,-46.6363027,,3,,,POINT (-46.6363027 -23.5393347)
4511317156,-23.5446984,-46.6432077,,3,,,POINT (-46.6432077 -23.5446984)
4511361254,-23.5350538,-46.6398878,,3,,,POINT (-46.6398878 -23.5350538)
4511364179,-23.5425333,-46.6379029,,3,,,POINT (-46.6379029 -23.5425333)
4511446997,-23.551782,-46.647313,,3,,,POINT (-46.647313 -23.551782)
4512194999,-23.5527865,-46.6443094,,3,,,POINT (-46.6443094 -23.5527865)
4512326943,-23.5472158,-46.6471382,,3,,,POINT (-46.6471382 -23.5472158)
4520804325,-23.5294267,-46.6681773,,3,,,POINT (-46.6681773 -23.5294267)
4520804331,-23.527775,-46.6673302,,3,,,POINT (-46.6673302 -23.527775)
4524492682,-23.5505809,-46.6480327,traffic_signals,4,,,POINT (-46.6480327 -23.5505809)
4530629173,-23.542122,-46.6348585,,3,,,POINT (-46.6348585 -23.542122)
4557541720,-23.5750229,-46.6467675,,3,,,POINT (-46.6467675 -23.5750229)
4561913702,-23.5571716,-46.6405815,traffic_signals,3,,,POINT (-46.6405815 -23.5571716)
4561913704,-23.5576614,-46.6399165,,3,,,POINT (-46.6399165 -23.5576614)
4569398005,-23.5581848,-46.5974513,,1,,,POINT (-46.5974513 -23.5581848)
4569398015,-23.5572604,-46.5977462,,1,,,POINT (-46.5977462 -23.5572604)
4569398016,-23.5571325,-46.5976658,,3,,,POINT (-46.5976658 -23.5571325)
4569398017,-23.5573973,-46.5972189,,3,,,POINT (-46.5972189 -23.5573973)
4569398024,-23.5580176,-46.597753,,3,,,POINT (-46.597753 -23.5580176)
4569398025,-23.558115,-46.5978257,,1,,,POINT (-46.5978257 -23.558115)
4569405669,-23.5695438,-46.5969402,,3,,,POINT (-46.5969402 -23.5695438)
4569405675,-23.5692727,-46.5950647,,3,,,POINT (-46.5950647 -23.5692727)
4569405676,-23.569362,-46.5952463,,3,,,POINT (-46.5952463 -23.569362)
4569602824,-23.5550242,-46.5999759,,3,,,POINT (-46.5999759 -23.5550242)
4569602826,-23.5549646,-46.6005732,,1,,,POINT (-46.6005732 -23.5549646)
4569602827,-23.5550045,-46.6001449,,3,,,POINT (-46.6001449 -23.5550045)
4580292568,-23.5376,-46.6732356,,3,,,POINT (-46.6732356 -23.5376)
4580346943,-23.5451496,-46.6732339,,3,,,POINT (-46.6732339 -23.5451496)
4580352042,-23.5433074,-46.6694554,,3,,,POINT (-46.6694554 -23.5433074)
4580356865,-23.5423631,-46.668847,,3,,,POINT (-46.668847 -23.5423631)
4580399224,-23.5331495,-46.6686418,,3,,,POINT (-46.6686418 -23.5331495)
4606956046,-23.5781494,-46.6026867,,3,,,POINT (-46.6026867 -23.5781494)
4607976270,-23.5807204,-46.6192386,,1,,,POINT (-46.6192386 -23.5807204)
4616346759,-23.5536011,-46.5977618,traffic_signals,3,,,POINT (-46.5977618 -23.5536011)
4617456892,-23.5542489,-46.6215318,,1,,,POINT (-46.6215318 -23.5542489)
4617459762,-23.5545627,-46.6108399,,3,,,POINT (-46.6108399 -23.5545627)
4617459779,-23.554447,-46.6129652,,3,,,POINT (-46.6129652 -23.554447)
4617469258,-23.5587305,-46.6147795,,3,,,POINT (-46.6147795 -23.5587305)
4619609841,-23.573321,-46.6042138,,3,,,POINT (-46.6042138 -23.573321)
4619667944,-23.5754481,-46.6083851,,3,,,POINT (-46.6083851 -23.5754481)
4619667946,-23.5749743,-46.6089529,,1,,,POINT (-46.6089529 -23.5749743)
4619667948,-23.5753505,-46.6088426,,3,,,POINT (-46.6088426 -23.5753505)
4633941067,-23.5370304,-46.6727793,,1,,,POINT (-46.6727793 -23.5370304)
4636077379,-23.5306051,-46.6637358,,3,,,POINT (-46.6637358 -23.5306051)
