osmid,y,x,street_count,highway,junction,railway,geometry
174984373,48.8719035,2.3826814,4,,,,POINT (2.3826814 48.8719035)
174985066,48.8710045,2.3821162,3,,,,POINT (2.3821162 48.8710045)
174985267,48.8703258,2.3818093,3,,,,POINT (2.3818093 48.8703258)
174986032,48.8725297,2.3829851,3,,,,POINT (2.3829851 48.8725297)
174986877,48.8724138,2.3823958,4,,,,POINT (2.3823958 48.8724138)
174994313,48.8828972,2.3737251,3,,,,POINT (2.3737251 48.8828972)
174994682,48.8828528,2.3745667,3,,,,POINT (2.3745667 48.8828528)
174994982,48.8835967,2.3733657,3,,,,POINT (2.3733657 48.8835967)
174995113,48.8816421,2.3723258,3,,,,POINT (2.3723258 48.8816421)
174996906,48.8795072,2.3680526,3,traffic_signals,,,POINT (2.3680526 48.8795072)
175012899,48.8720347,2.3598727,3,,,,POINT (2.3598727 48.8720347)
175013018,48.8718412,2.3600509,3,,,,POINT (2.3600509 48.8718412)
175014120,48.8709587,2.3608352,3,,,,POINT (2.3608352 48.8709587)
175014385,48.8708931,2.3587927,3,,,,POINT (2.3587927 48.8708931)
175014795,48.8712403,2.3581712,3,,,,POINT (2.3581712 48.8712403)
175016228,48.8684669,2.3629955,3,traffic_signals;crossing,,,POINT (2.3629955 48.8684669)
175019359,48.8697507,2.3522815,3,traffic_signals;crossing,,,POINT (2.3522815 48.8697507)
175026491,48.8689183,2.3540739,3,traffic_signals,,,POINT (2.3540739 48.8689183)
175036928,48.8664388,2.360296,3,traffic_signals,,,POINT (2.360296 48.8664388)
175038101,48.8669626,2.3582667,4,,,,POINT (2.3582667 48.8669626)
175042209,48.8659249,2.3580911,3,,,,POINT (2.3580911 48.8659249)
175042544,48.8656544,2.3568813,3,,,,POINT (2.3568813 48.8656544)
175042755,48.8660076,2.3559776,1,,,,POINT (2.3559776 48.8660076)
175043657,48.8643832,2.3618132,3,,,,POINT (2.3618132 48.8643832)
175043658,48.8638965,2.362763,3,,,,POINT (2.362763 48.8638965)
175044295,48.8641565,2.3590184,3,,,,POINT (2.3590184 48.8641565)
175044779,48.865344,2.3566011,3,,,,POINT (2.3566011 48.865344)
175045017,48.8652296,2.3571175,4,,,,POINT (2.3571175 48.8652296)
175046904,48.8646503,2.3613074,3,,,,POINT (2.3613074 48.8646503)
175046959,48.8655505,2.3614624,3,,,,POINT (2.3614624 48.8655505)
175047091,48.8649064,2.3607966,3,,,,POINT (2.3607966 48.8649064)
175048261,48.8589615,2.3557294,3,,,,POINT (2.3557294 48.8589615)
175077117,48.8345902,2.288311,3,,,,POINT (2.288311 48.8345902)
175077220,48.8336959,2.2899146,3,traffic_signals,,,POINT (2.2899146 48.8336959)
175078338,48.8333957,2.2894533,3,,,,POINT (2.2894533 48.8333957)
175078684,48.8311223,2.2924379,3,traffic_signals,,,POINT (2.2924379 48.8311223)
175093927,48.8276208,2.3053832,4,,,,POINT (2.3053832 48.8276208)
175487395,48.8289015,2.3087055,1,,,,POINT (2.3087055 48.8289015)
175492885,48.8249963,2.3021482,4,traffic_signals,,,POINT (2.3021482 48.8249963)
175492910,48.8234504,2.3028062,3,,,,POINT (2.3028062 48.8234504)
175492912,48.8237131,2.3026784,3,,,,POINT (2.3026784 48.8237131)
176734824,48.824814,2.2955223,4,,,,POINT (2.2955223 48.824814)
176735394,48.8237371,2.2972682,4,,,,POINT (2.2972682 48.8237371)
176738029,48.8252513,2.296618,3,,,,POINT (2.296618 48.8252513)
176738031,48.8255575,2.2967407,2,,,,POINT (2.2967407 48.8255575)
176738033,48.8257595,2.2968483,2,,,,POINT (2.2968483 48.8257595)
176741654,48.8246327,2.2950151,4,,,,POINT (2.2950151 48.8246327)
176742354,48.823235,2.2915391,3,,,,POINT (2.2915391 48.823235)
176742356,48.8230091,2.2910064,3,,,,POINT (2.2910064 48.8230091)
176748556,48.8231051,2.2925023,3,,,,POINT (2.2925023 48.8231051)
176749166,48.8240821,2.2945624,3,,,,POINT (2.2945624 48.8240821)
176749905,48.8239383,2.2947937,3,,,,POINT (2.2947937 48.8239383)
176749910,48.8224581,2.2930502,3,,,,POINT (2.2930502 48.8224581)
176750115,48.8243163,2.2941301,3,,,,POINT (2.2941301 48.8243163)
176751765,48.8237552,2.2951992,1,,,,POINT (2.2951992 48.8237552)
176755414,48.8234998,2.2967884,3,traffic_signals,,,POINT (2.2967884 48.8234998)
176756568,48.8249446,2.2948064,3,,,,POINT (2.2948064 48.8249446)
176756824,48.8241117,2.298056,4,,,,POINT (2.298056 48.8241117)
176762224,48.8261209,2.2970244,3,,,,POINT (2.2970244 48.8261209)
176779541,48.8268419,2.2938764,3,,,,POINT (2.2938764 48.8268419)
176784883,48.8237268,2.2879143,3,,,,POINT (2.2879143 48.8237268)
176785475,48.824702,2.2898018,4,,,,POINT (2.2898018 48.824702)
176785476,48.8256179,2.2915754,3,,,,POINT (2.2915754 48.8256179)
176786045,48.8251168,2.2893108,4,,,,POINT (2.2893108 48.8251168)
176786046,48.825818,2.2906762,3,,,,POINT (2.2906762 48.825818)
176786328,48.8248175,2.2872624,3,,,,POINT (2.2872624 48.8248175)
176787281,48.8253094,2.2890825,3,,,,POINT (2.2890825 48.8253094)
176792953,48.8249087,2.2915123,3,,,,POINT (2.2915123 48.8249087)
176793392,48.824296,2.2928621,3,,,,POINT (2.2928621 48.824296)
176932324,48.8739194,2.291159,3,,,,POINT (2.291159 48.8739194)
176932548,48.873556,2.2925244,4,traffic_signals,,,POINT (2.2925244 48.873556)
176932687,48.8745357,2.2899614,3,,,,POINT (2.2899614 48.8745357)
176932867,48.8741228,2.2912768,3,,,,POINT (2.2912768 48.8741228)
176943871,48.8811844,2.3121491,3,,,,POINT (2.3121491 48.8811844)
176949010,48.891185,2.3247045,3,,,,POINT (2.3247045 48.891185)
176949086,48.8914612,2.3238459,3,,,,POINT (2.3238459 48.8914612)
176949157,48.8917226,2.3230341,3,,,,POINT (2.3230341 48.8917226)
176949258,48.8918981,2.3221095,4,,,,POINT (2.3221095 48.8918981)
