u,v,key,osmid,bridge,highway,lanes,oneway,reversed,length,maxspeed,geometry,Inverse SP,Cost of return,Edge Betweenness,name,ref,tunnel,access,width,junction,Groups
122807516,122770938,0,13318085,,residential,2,False,False,111.17517121214397,,"LINESTRING (-118.2841624 34.0491165, -118.2842981 34.0491165, -118.284303 34.0491165, -118.2847616 34.0491163, -118.285282 34.0491161, -118.2853691 34.0491161)",111.17517121214397,1.7495737684934352,0.0004163142569515,West 12th Street,,,,,,C
122807519,212327957,0,"[508818212, 165518261]",,residential,2,False,False,204.52483198455707,,"LINESTRING (-118.2865357 34.0491157, -118.286534 34.0490491, -118.2865138 34.0475863, -118.286511 34.0474066, -118.2865106 34.0473833, -118.2865093 34.0472765)",204.52483198455704,1.6033343428637754,0.0003414963188282,Magnolia Avenue,,,,,,C
122807519,1770584860,0,165518261,,residential,2,False,True,186.36761779341307,,"LINESTRING (-118.2865357 34.0491157, -118.286535 34.0491972, -118.286546 34.0507117, -118.2865477 34.0507917)",186.36761779341307,1.5160997481351046,8.362695752560988e-05,Magnolia Avenue,,,,,,C
122807519,122807521,0,665045256,,residential,,False,False,108.3837252861842,,"LINESTRING (-118.2865357 34.0491157, -118.286632 34.0491157, -118.287122 34.0491154, -118.287622 34.0491163, -118.2877121 34.0491165)",108.3837252861842,1.508704962776332,0.0004254756371299,West 12th Street,,,,,,C
122807519,122770938,0,665045256,,residential,,False,True,107.48069563473835,,"LINESTRING (-118.2865357 34.0491157, -118.286459 34.0491157, -118.2859579 34.0491159, -118.285456 34.0491161, -118.2853691 34.0491161)",107.48069563473835,1.7523121123201186,0.0003615808830654,West 12th Street,,,,,,C
122807521,122807519,0,665045256,,residential,,False,True,108.3837252861842,,"LINESTRING (-118.2877121 34.0491165, -118.287622 34.0491163, -118.287122 34.0491154, -118.286632 34.0491157, -118.2865357 34.0491157)",108.3837252861842,1.508704962776334,0.0004224805705331,West 12th Street,,,,,,C
122807521,123398529,0,"[508817939, 1234441977, 740929659]",,residential,2,False,False,205.39436522433823,,"LINESTRING (-118.2877121 34.0491165, -118.287711 34.0490411, -118.2877026 34.0480823, -118.2877008 34.0480014, -118.2876821 34.0475889, -118.287679 34.0473931, -118.287679 34.0473888, -118.2876784 34.0472697)",205.39436522433823,1.3004727056782963,3.523607760910529e-07,Elden Avenue,,,,,,C
122807521,11457448317,0,1234441977,,residential,2,False,True,185.80525945646207,,"LINESTRING (-118.2877121 34.0491165, -118.287712 34.0491944, -118.2877289 34.0505103, -118.287728 34.0506672, -118.2877289 34.0507014, -118.287729 34.0507874)",185.80525945646207,1.4271962685735855,0.0002216936549572,Elden Avenue,,,,,,C
122807807,2456269852,0,518122323,,secondary,4,False,True,84.64962099403243,30 mph,"LINESTRING (-118.2097166 34.0476527, -118.2089077 34.0472917)",84.64962099403243,1.685852680970131,0.0038708005789522,East Cesar E Chavez Avenue,,,,,,B
122807807,123333991,0,518123187,,secondary,4,False,False,58.695674686007294,30 mph,"LINESTRING (-118.2097166 34.0476527, -118.2102775 34.047903)",58.695674686007294,1.4926222213688838,0.00375411043527,East Cesar E Chavez Avenue,,,,,,B
